Species,Class,Student,Years,Status,Change,
Cephalophus spadix,Mammals,Christina,1998,VU,NA,
Cephalophus spadix,Mammals,Christina,1999,VU,NA,
Cephalophus spadix,Mammals,Christina,2000,VU,NA,
Cephalophus spadix,Mammals,Christina,2001,VU,NA,
Cephalophus spadix,Mammals,Christina,2002,VU,NA,
Cephalophus spadix,Mammals,Christina,2003,VU,NA,
Cephalophus spadix,Mammals,Christina,2004,VU,NA,
Cephalophus spadix,Mammals,Christina,2005,VU,NA,
Cephalophus spadix,Mammals,Christina,2006,VU,G,
Cephalophus spadix,Mammals,Christina,2007,EN,G,
Cephalophus spadix,Mammals,Christina,2008,EN,NA,
Cephalophus spadix,Mammals,Christina,2009,EN,NA,
Cephalophus spadix,Mammals,Christina,2010,EN,NA,
Cephalophus spadix,Mammals,Christina,2011,EN,NA,
Cephalophus spadix,Mammals,Christina,2012,EN,NA,
Cephalophus spadix,Mammals,Christina,2013,EN,NA,
Cephalophus spadix,Mammals,Christina,2014,EN,NA,
Cephalophus spadix,Mammals,Christina,2015,EN,NA,
Cephalophus spadix,Mammals,Anita,1998,VU,NA,
Cephalophus spadix,Mammals,Anita,1999,VU,NA,
Cephalophus spadix,Mammals,Anita,2000,VU,NA,
Cephalophus spadix,Mammals,Anita,2001,VU,NA,
Cephalophus spadix,Mammals,Anita,2002,VU,NA,
Cephalophus spadix,Mammals,Anita,2003,VU,NA,
Cephalophus spadix,Mammals,Anita,2004,VU,NA,
Cephalophus spadix,Mammals,Anita,2005,VU,NA,
Cephalophus spadix,Mammals,Anita,2006,VU,NA,
Cephalophus spadix,Mammals,Anita,2007,EN,G,
Cephalophus spadix,Mammals,Anita,2008,EN,NA,
Cephalophus spadix,Mammals,Anita,2009,EN,NA,
Cephalophus spadix,Mammals,Anita,2010,EN,NA,
Cephalophus spadix,Mammals,Anita,2011,EN,NA,
Cephalophus spadix,Mammals,Anita,2012,EN,NA,
Cephalophus spadix,Mammals,Anita,2013,EN,NA,
Cephalophus spadix,Mammals,Anita,2014,EN,NA,
Cephalophus spadix,Mammals,Anita,2015,EN,NA,
Gazella spekei,Mammals,Christina,1998,VU,NA,
Gazella spekei,Mammals,Christina,1999,VU,NA,
Gazella spekei,Mammals,Christina,2000,VU,NA,
Gazella spekei,Mammals,Christina,2001,VU,NA,
Gazella spekei,Mammals,Christina,2002,VU,NA,
Gazella spekei,Mammals,Christina,2003,VU,NA,
Gazella spekei,Mammals,Christina,2004,VU,NA,
Gazella spekei,Mammals,Christina,2005,VU,NA,
Gazella spekei,Mammals,Christina,2006,VU,NA,
Gazella spekei,Mammals,Christina,2007,EN,G,
Gazella spekei,Mammals,Christina,2008,EN,NA,
