"Species","Before","After","Change","YearChange","FirstYear","LastYear","PublicationsBefore","PublicationsAfter"
"Aeshna persephone","3_VU","1_LC","Better",2006,1998,2015,NA,NA
"Afrocarpus dawei","1_LC","2_NT","Worse",2006,1998,2015,NA,NA
"Anoglypta launcestonensis","3_VU","2_NT","Better",2006,1998,2015,NA,NA
"Ardea insignis","4_EN","5_CR","Worse",2006,1998,2015,NA,NA
"Aspidoscelis hyperythra","9_DD","1_LC","Gain_info",2006,1998,2015,NA,NA
"Austroglanis barnardi","5_CR","4_EN","Better",2006,1998,2015,NA,NA
"Austroglanis sclateri","9_DD","1_LC","Gain_info",2006,1998,2015,NA,NA
"Barbus andrewi","3_VU","4_EN","Worse",2006,1998,2015,NA,NA
"Barbus brevipinnis","3_VU","2_NT","Better",2006,1998,2015,NA,NA
"Barbus calidus","4_EN","3_VU","Better",2006,1998,2015,NA,NA
"Barbus hospes","2_NT","1_LC","Better",2006,1998,2015,NA,NA
"Barbus treurensis","2_NT","4_EN","Worse",2006,1998,2015,NA,NA
"Barbus trevelyani","5_CR","4_EN","Better",2006,1998,2015,NA,NA
"Bellamya monardi","4_EN","2_NT","Better",2006,1998,2015,NA,NA
"Biomphalaria angulosa","2_NT","1_LC","Better",2006,1998,2015,NA,NA
"Biomphalaria salinarum","2_NT","9_DD","Loss_info",2006,1998,2015,NA,NA
"Brachypteryx hyperythra","3_VU","2_NT","Better",2006,1998,2015,NA,NA
"Bulinus canescens","2_NT","1_LC","Better",2006,1998,2015,NA,NA
"Cephalophus spadix","3_VU","4_EN","Worse",2006,1998,2015,NA,NA
"Charadrius pallidus","1_LC","2_NT","Worse",2006,1998,2015,NA,NA
"Chetia brevis","3_VU","4_EN","Worse",2006,1998,2015,NA,NA
"Chiloglanis bifurcus","5_CR","4_EN","Better",2006,1998,2015,NA,NA
"Chlorocardium rodiei","3_VU","9_DD","Loss_info",2006,1998,2015,NA,NA
"Cinclodes pabsti","1_LC","2_NT","Worse",2006,1998,2015,NA,NA
"Coeligena orina","1_LC","5_CR","Worse",2006,1998,2015,NA,NA
"Croilia mossambica","2_NT","1_LC","Better",2006,1998,2015,NA,NA
"Dacrydium cornwalliana","8_R","1_LC","Better",2006,1998,2015,NA,NA
"Dacrydium spathoides","8_R","2_NT","Better",2006,1998,2015,NA,NA
"Discocharopa mimosa","9_DD","1_LC","Gain_info",2006,1998,2015,NA,NA
"Euphagus carolinus","1_LC","3_VU","Worse",2006,1998,2015,NA,NA
"Falcatifolium sleumeri","9_DD","2_NT","Gain_info",2006,1998,2015,NA,NA
"Ficedula henrici","3_VU","2_NT","Better",2006,1998,2015,NA,NA
"Francolinus streptophorus","1_LC","2_NT","Worse",2006,1998,2015,NA,NA
"Galaxias zebratus","2_NT","9_DD","Loss_info",2006,1998,2015,NA,NA
"Gavialis gangeticus","4_EN","5_CR","Worse",2006,1998,2015,NA,NA
"Gazella spekei","3_VU","4_EN","Worse",2006,1998,2015,NA,NA
"Gomphus consanguis","3_VU","4_EN","Worse",2006,1998,2015,NA,NA
"Gomphus sandrius","4_EN","3_VU","Better",2006,1998,2015,NA,NA
"Gomphus septima","3_VU","1_LC","Better",2006,1998,2015,NA,NA
