"Species","Before","After","Change","YearChange","FirstYear","LastYear","PublicationsBefore","PublicationsAfter","DateOfSearch","StringUsedForSearch"
"Aeshna persephone","3_VU","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Afrocarpus dawei","1_LC","2_NT","Worse",2007,1998,2015,NA,NA,NA,NA
"Anoglypta launcestonensis","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Ardea insignis","4_EN","5_CR","Worse",2007,1998,2015,NA,NA,NA,NA
"Aspidoscelis hyperythra","9_DD","1_LC","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Austroglanis barnardi","5_CR","4_EN","Better",2007,1998,2015,NA,NA,NA,NA
"Austroglanis sclateri","9_DD","1_LC","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Barbus andrewi","3_VU","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Barbus brevipinnis","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Barbus calidus","4_EN","3_VU","Better",2007,1998,2015,NA,NA,NA,NA
"Barbus hospes","2_NT","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Barbus treurensis","2_NT","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Barbus trevelyani","5_CR","4_EN","Better",2007,1998,2015,NA,NA,NA,NA
"Bellamya monardi","4_EN","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Biomphalaria angulosa","2_NT","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Biomphalaria salinarum","2_NT","9_DD","Loss_info",2007,1998,2015,NA,NA,NA,NA
"Brachypteryx hyperythra","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Bulinus canescens","2_NT","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Cephalophus spadix","3_VU","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Charadrius pallidus","1_LC","2_NT","Worse",2007,1998,2015,NA,NA,NA,NA
"Chetia brevis","3_VU","4_EN","Worse",2007,1998,2015,NA,NA,NA,NA
"Chiloglanis bifurcus","5_CR","4_EN","Better",2007,1998,2015,NA,NA,NA,NA
"Chlorocardium rodiei","3_VU","9_DD","Loss_info",2007,1998,2015,NA,NA,NA,NA
"Cinclodes pabsti","1_LC","2_NT","Worse",2007,1998,2015,NA,NA,NA,NA
"Coeligena orina","1_LC","5_CR","Worse",2007,1998,2015,NA,NA,NA,NA
"Croilia mossambica","2_NT","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Dacrydium cornwalliana","8_R","1_LC","Better",2007,1998,2015,NA,NA,NA,NA
"Dacrydium spathoides","8_R","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Discocharopa mimosa","9_DD","1_LC","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Euphagus carolinus","1_LC","3_VU","Worse",2007,1998,2015,NA,NA,NA,NA
"Falcatifolium sleumeri","9_DD","2_NT","Gain_info",2007,1998,2015,NA,NA,NA,NA
"Ficedula henrici","3_VU","2_NT","Better",2007,1998,2015,NA,NA,NA,NA
"Francolinus streptophorus","1_LC","2_NT","Worse",2007,1998,2015,NA,NA,NA,NA
