title,authors,journal,doi,pub_date,times_cited,abstract
Unanticipated effect of climate change on an aquatic top predator of the Atlantic rainforest,"['Herrera, J', 'Solari, A', 'Lucifora, LO']",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,10.1002/aqc.2536,DEC 2015,0,"1. From a biodiversity conservation viewpoint it is crucial to estimate the sensitivity of species and populations to climate change, especially of key species such as top predators.

2. Here, the El Nino-Southern Oscillation phenomenon (ENSO) was used as a natural experiment to estimate the sensitivity of a population of the rainforest-dwelling broad-snouted caiman, Caiman latirostris, to extreme floods.

3. Caiman abundance declined by 35% annually between 1996 and 1998, and then increased, without reaching 1996 levels, indicating a marked effect of the 1997 El Nino. Accordingly, the Southern Oscillation Index was positively correlated with caiman abundance, indicating lower caiman abundance with warm ENSO events.

4. The relationship between the relative annual mean abundance of caimans and the maximum daily annual discharge of the Iguazu River was analysed. This relationship was parabolic, with caiman abundance increasing at discharges from 500 to 1500m(3) s(-1) and then decreasing at discharges from 1500 to 2500m(3) s(-1), indicating an adverse effect of both extreme low and high river discharge. No effect of illegal hunting was measurable.

5. This study evaluated whether the negative effect of extremely high water levels on caiman abundance could be due to a decrease in the availability of the habitat more commonly used by small (< 60 cm total length, TL) and medium (60-120 cm TL) caimans. Small and medium-sized caimans used herbaceous/shrub habitats more frequently than large caimans (>120 cm TL), i.e. the type of habitat flooded during extreme floods.

6. An increase in extreme floods, as forecast for the Atlantic rainforest owing to climate change, may seriously affect the population of rainforest caimans through the reduction of adequate habitat for juveniles. This counter-intuitive result, in which an excess of water reduces the abundance of an aquatic top predator, should be considered in conservation plans of rainforest-dwelling crocodilians. Copyright (C) 2014 John Wiley & Sons, Ltd."
"Vocalizations in two rare crocodilian species: A comparative analysis of distress calls of Tomistoma schlegelii (Muller, 1838) and Gavialis gangeticus (Gmelin, 1789)","['Bonke, R', 'Whitaker, N', 'Rodder, D', 'Bohme, W', 'AUDITORY RESPONSES']",NORTH-WESTERN JOURNAL OF ZOOLOGY,NA,JUN 2015,0,"We analysed 159 distress calls of five individuals of T. schlegelii for temporal parameters and obtained spectral parameters in 137 of these calls. Analyses of G. gangeticus were based on 39 distress calls of three individuals, of which all could be analysed for temporal and spectral parameters. Our results document differences in the call structure of both species. Distress calls of T. schlegelii show numerous harmonics, whereas extensive pulse trains are present in G. gangeticus. In the latter, longer call durations and longer intervals between calls resulted in lower call repetition rates. Dominant frequencies of T. schlegelii are higher than in G. gangeticus. T. schlegelii specimens showed a negative correlation of increasing body size with decreasing dominant frequencies. Distress call durations increased with body size. schlegelii distress calls share only minor structural features with distress calls of G. gangeticus."
"Behavioral Ecology of the Gharial, Gavialis gangeticus
","['Lang, JW']",INTEGRATIVE AND COMPARATIVE BIOLOGY,NA,APR 2015,0,NA
Three crocodilian genomes reveal ancestral patterns of evolution among archosaurs,"['Green, RE', 'Braun, EL', 'Armstrong, J', 'Earl, D', 'Nguyen, N', 'Hickey, G', 'Vandewege, MW', 'St John, JA', 'Capella-Gutierrez, S', 'Castoe, TA', 'Kern, C', 'Fujita, MK', 'Opazo, JC', 'Jurka, J', 'Kojima, KK', 'Caballero, J', 'Hubley, RM', 'Smit, AF', 'Platt, RN', 'Lavoie, CA', 'Ramakodi, MP', 'Finger, JW', 'Suh, A', 'Isberg, SR', 'Miles, L', 'Chong, AY', 'Jaratlerdsiri, W', 'Gongora, J', 'Moran, C', 'Iriarte, A', 'McCormack, J', 'Burgess, SC', 'Edwards, SV', 'Lyons, E', 'Williams, C', 'Breen, M', 'Howard, JT', 'Gresham, CR', 'Peterson, DG', 'Schmitz, J', 'Pollock, DD', 'Haussler, D', 'Triplett, EW', 'Zhang, G', 'Irie, N', 'Jarvis, ED', 'Brochu, CA', 'Schmidt, CJ', 'McCarthy, FM', 'Faircloth, BC', 'Hoffmann, FG', 'Glenn, TC', 'Gabaldoon, T', 'Paten, B', 'Ray, DA']",SCIENCE,10.1126/science.1254449,DEC 12 2014,26,"To provide context for the diversification of archosaurs-the group that includes crocodilians, dinosaurs, and birds-we generated draft genomes of three crocodilians: Alligator mississippiensis (the American alligator), Crocodylus porosus (the saltwater crocodile), and Gavialis gangeticus (the Indian gharial). We observed an exceptionally slow rate of genome evolution within crocodilians at all levels, including nucleotide substitutions, indels, transposable element content and movement, gene family evolution, and chromosomal synteny. When placed within the context of related taxa including birds and turtles, this suggests that the common ancestor of all of these taxa also exhibited slow genome evolution and that the comparatively rapid evolution is derived in birds. The data also provided the opportunity to analyze heterozygosity in crocodilians, which indicates a likely reduction in population size for all three taxa through the Pleistocene. Finally, these data combined with newly published bird genomes allowed us to reconstruct the partial genome of the common ancestor of archosaurs, thereby providing a tool to investigate the genetic starting material of crocodilians, birds, and dinosaurs."
Three crocodilian genomes reveal ancestral patterns of evolution among archosaurs.,"['Green, Richard E', 'Braun, Edward L', 'Armstrong, Joel', 'Earl, Dent', 'Nguyen, Ngan', 'Hickey, Glenn', 'Vandewege, Michael W', 'St John, John A', 'Capella-Gutierrez, Salvador', 'Castoe, Todd A', 'Kern, Colin', 'Fujita, Matthew K', 'Opazo, Juan C', 'Jurka, Jerzy', 'Kojima, Kenji K', 'Caballero, Juan', 'Hubley, Robert M', 'Smit, Arian F', 'Platt, Roy N', 'Lavoie, Christine A', 'Ramakodi, Meganathan P', 'Finger, John W Jr', 'Suh, Alexander', 'Isberg, Sally R', 'Miles, Lee', 'Chong, Amanda Y', 'Jaratlerdsiri, Weerachai', 'Gongora, Jaime', 'Moran, Christopher', 'Iriarte, Andres', 'McCormack, John', 'Burgess, Shane C', 'Edwards, Scott V', 'Lyons, Eric', 'Williams, Christina', 'Breen, Matthew', 'Howard, Jason T', 'Gresham, Cathy R', 'Peterson, Daniel G', 'Schmitz, Jurgen', 'Pollock, David D', 'Haussler, David', 'Triplett, Eric W', 'Zhang, Guojie', 'Irie, Naoki', 'Jarvis, Erich D', 'Brochu, Christopher A', 'Schmidt, Carl J', 'McCarthy, Fiona M', 'Faircloth, Brant C', 'Hoffmann, Federico G', 'Glenn, Travis C', 'Gabaldon, Toni', 'Paten, Benedict', 'Ray, David A']","Science (New York, N.Y.)",10.1126/science.1254449,2014-Dec-12 (Epub 2014 Dec 11),0,"To provide context for the diversification of archosaurs--the group that includes crocodilians, dinosaurs, and birds--we generated draft genomes of three crocodilians: Alligator mississippiensis (the American alligator), Crocodylus porosus (the saltwater crocodile), and Gavialis gangeticus (the Indian gharial). We observed an exceptionally slow rate of genome evolution within crocodilians at all levels, including nucleotide substitutions, indels, transposable element content and movement, gene family evolution, and chromosomal synteny. When placed within the context of related taxa including birds and turtles, this suggests that the common ancestor of all of these taxa also exhibited slow genome evolution and that the comparatively rapid evolution is derived in birds. The data also provided the opportunity to analyze heterozygosity in crocodilians, which indicates a likely reduction in population size for all three taxa through the Pleistocene. Finally, these data combined with newly published bird genomes allowed us to reconstruct the partial genome of the common ancestor of archosaurs, thereby providing a tool to investigate the genetic starting material of crocodilians, birds, and dinosaurs. Copyright  2014, American Association for the Advancement of Science."
An Expanded Combined Evidence Approach to the Gavialis Problem Using Geometric Morphometric Data from Crocodylian Braincases and Eustachian Systems,"['Gold, MEL', 'Brochu, CA', 'Norell, MA']",PLOS ONE,10.1371/journal.pone.0105793,SEP 8 2014,1,"The phylogenetic position of the Indian gharial (Gavialis gangeticus) is disputed - morphological characters place Gavialis as the sister to all other extant crocodylians, whereas molecular and combined analyses find Gavialis and the false gharial (Tomistoma schlegelii) to be sister taxa. Geometric morphometric techniques have only begun to be applied to this issue, but most of these studies have focused on the exterior of the skull. The braincase has provided useful phylogenetic information for basal crurotarsans, but has not been explored for the crown group. The Eustachian system is thought to vary phylogenetically in Crocodylia, but has not been analytically tested. To determine if gross morphology of the crocodylian braincase proves informative to the relationships of Gavialis and Tomistoma, we used two-and three-dimensional geometric morphometric approaches. Internal braincase images were obtained using high-resolution computerized tomography scans. A principal components analysis identified that the first component axis was primarily associated with size and did not show groupings that divide the specimens by phylogenetic affinity. Sliding semi-landmarks and a relative warp analysis indicate that a unique Eustachian morphology separates Gavialis from other extant members of Crocodylia. Ontogenetic expansion of the braincase results in a more dorsoventrally elongate median Eustachian canal. Changes in the shape of the Eustachian system do provide phylogenetic distinctions between major crocodylian clades. Each morphometric dataset, consisting of continuous morphological characters, was added independently to a combined cladistic analysis of discrete morphological and molecular characters. The braincase data alone produced a clade that included crocodylids and Gavialis, whereas the Eustachian data resulted in Gavialis being considered a basally divergent lineage. When each morphometric dataset was used in a combined analysis with discrete morphological and molecular characters, it generated a tree that matched the topology of the molecular phylogeny of Crocodylia."
Novel microsatellite DNA markers for Indian Gharial (Gavialis gangeticus),"['Jogayya, KN', 'Meganathan, PR', 'Dubey, B', 'Haque, I']",CONSERVATION GENETICS RESOURCES,10.1007/s12686-013-9908-6,SEP 2013,0,"The present status of existing crocodile species has increased the necessity to develop novel utilities for conservation. We have developed 18 microsatellite loci from the Indian Gharial (Gavialis gangeticus) intended for genomic explanation and applied them to study genetic variation. Polymorphism of each locus was assessed in 32 individuals for G. gangeticus India. The number of alleles per locus varied from 2 to 8 (mean 5.5) for Indian population. Observed and expected heterozygosity ranged from 0.73 to 1.00 and 0.50 to 0.81, respectively and the average polymorphic information content is 0.565. These selected markers are helpful for assessing population structure, intraspecific difference, and conservation and management of G. gangeticus."
Identification of Indian Crocodile Species Through DNA Barcodes,"['Meganathan, PR', 'Dubey, B', 'Jogayya, KN', 'Haque, I']",JOURNAL OF FORENSIC SCIENCES,10.1111/1556-4029.12129,JUL 2013,0,"The biodiversity of India includes three crocodile species, Crocodylus palustris, Crocodylus porosus, and Gavialis gangeticus, whose status is threatened due to bushmeat crisis and illegal hunting. The crocodilian conservation management requires novel techniques to help forensic analysts to reveal species identity. DNA barcoding is a species identification technique, where a partial cytochrome c oxidase subunit 1 gene is used as a marker for species identification. Herein, the DNA barcoding technique is evaluated for three Indian crocodiles by analyzing an approximately 750-bp barcode region. The alignment result shows interspecific variations between sequences for discrimination of the three Indian crocodiles leading to species identification. The phylogenetic analyses also substantiate the established crocodilian relationships, which add further advantage to use this DNA barcoding approach for Indian crocodiles. This study provides preliminary evidences for the use of DNA barcoding technique in the identification of Indian crocodile species."
Feeding Mechanics in Spinosaurid Theropods and Extant Crocodilians,"['Cuff, AR', 'Rayfield, EJ']",PLOS ONE,10.1371/journal.pone.0065295,MAY 28 2013,7,"A number of extant and extinct archosaurs evolved an elongate, narrow rostrum. This longirostrine condition has been associated with a diet comprising a higher proportion of fish and smaller prey items compared to taxa with broader, more robust snouts. The evolution of longirostrine morphology and a bulbous anterior rosette of premaxillary teeth also occurs in the spinosaurid theropod dinosaurs, leading to suggestions that at least some members of this clade also had a diet comprising a notable proportion of fish or other small vertebrates. Here we compare the rostral biomechanics of the spinosaurs Baryonyx walkeri and Spinosaurus c.f. S. aegyptiacus to three extant crocodilians: two longistrine taxa, the African slender-snouted crocodile Mecistops cataphractus and the Indian gharial Gavialis gangeticus; and the American alligator Alligator mississippiensis. Using computed tomography (CT) data, the second moments of area and moments of inertia at successive transverse slices along the rostrum were calculated for each of the species. Size-independent results tested the biomechanical benefits of material distribution within the rostra. The two spinosaur rostra were both digitally reconstructed from CT data and compared against all three crocodilians. Results show that African slender-snouted crocodile skulls are more resistant to bending than an equivalent sized gharial. The alligator has the highest resistances to bending and torsion of the crocodiles for its size and greater than that of the spinosaurs. The spinosaur rostra possess similar resistance to bending and torsion despite their different morphologies. When size is accounted for, B. walkeri performs mechanically differently from the gharial, contradicting previous studies whereas Spinosaurus does not. Biomechanical data support known feeding ecology for both African slender-snouted crocodile and alligator, and suggest that the spinosaurs were not obligate piscivores with diet being determined by individual animal size."
Rigorous gharial population estimation in the Chambal: implications for conservation and management of a globally threatened crocodilian,"['Nair, T', 'Thorbjarnarson, JB', 'Aust, P', 'Krishnaswamy, J']",JOURNAL OF APPLIED ECOLOGY,10.1111/j.1365-2664.2012.02189.x,OCT 2012,3,"India's Chambal River hosts the largest population of the critically endangered gharial. Boat-based daylight surveys to date only provide indices of relative abundance, without measures of survey bias or error. No attempt to quantify detection probabilities in these surveys has yet been made, and thus, absolute density estimates of this population remain unknown. We surveyed 75 km of the River Chambal and photographed individual gharials for capturerecapture analysis. The total sampling effort yielded 400 captures. Population closure was supported (z = -1.48, P = 0.069), and closed-population models were used to estimate abundances. Models were selected using the Akaike Information Criterion (AIC) index of model fit. The best model estimated 231 +/- 32 adult, 83 +/- 23 subadult and 89 +/- 19 juvenile gharials (Mean +/- SE), respectively, while the model-averaged estimate was 220 +/- 28 adult, 76 +/- 16 subadults and 93 +/- 16 juvenile gharials, respectively. The best model estimated absolute densities of 3.08 +/- 0.43, 1.11 +/- 0.3 and 1.19 +/- 0.25 adult, subadult and juvenile gharials km-1, respectively, while the model-averaged estimate was 2.93 +/- 0.37, 1.01 +/- 0.21 and 1.24 +/- 0.21 adult, subadult and juvenile gharials km-1, respectively, compared with relative densities of 0.94, 0.45 and 0.30 adult, subadult and juvenile gharials km-1, respectively, from boat-based daylight surveys. On the basis of our best model, we suggest a detection probability based correction factor of 3.27, 2.47 and 3.97 to boat-based daylight survey estimates of adult, subadult and juvenile gharials, respectively. Synthesis and applications. Used within the framework of capturerecapture analysis, photoidentification provides a reliable and noninvasive method of estimating population size and structure in crocodilians. We also opine that without determining the current status of gharials, highly intensive strategies, such as the egg-collection and rear-and-release programmes being implemented currently, initiated on the basis of underestimates of population sizes, are unwarranted and divert valuable conservation resources away from field-based protection measures, which are essential in the face of threats like hydrologic diversions, sand mining, fishing and bankside cultivation."
