title,authors,journal,doi,pub_date,times_cited,abstract
"
Gorilla society: Conflict, compromise and cooperation between the sexes","['Brosnan, SF']",NATURE,10.1038/4501160a,DEC 20 2007,0,NA
The role of Pleistocene refugia and rivers in shaping gorilla genetic diversity in central Africa,"['Anthony, NM', 'Johnson-Bawe, M', 'Jeffery, K', 'Clifford, SL', 'Abernethy, KA', 'Tutin, CE', 'Lahm, SA', 'White, LJT', 'Utley, JF', 'Wickings, EJ', 'Bruford, MW']",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.0704816105,DEC 18 2007,88,"The role of Pleistocene forest refugia and rivers in the evolutionary diversification of tropical biota has been the subject of considerable debate. A range-wide analysis of gorilla mitochondrial and nuclear variation was used to test the potential role of both refugia and rivers in shaping genetic diversity in current populations. Results reveal strong patterns of regional differentiation that are consistent with refugial hypotheses for central Africa. Four major mitochondrial haplogroups are evident with the greatest divergence between eastern (A, B) and western (C, D) gorillas. Coalescent simulations reject a model of recent east-west separation during the last glacial maximum but are consistent with a divergence time within the Pleistocene. Microsatellite data also support a similar regional pattern of population genetic structure. Signatures of demographic expansion were detected in eastern lowland (B) and Gabon/Congo (D3) mitochondrial haplogroups and are consistent with a history of postglacial expansion from formerly isolated refugia. Although most mitochondrial haplogroups are regionally defined, limited admixture is evident between neighboring haplogroups. Mantel tests reveal a significant isolation-by-distance effect among western lowland gorilla populations. However, mitochondrial genetic distances also correlate with the distance required to circumnavigate intervening rivers, indicating a possible role for rivers in partitioning gorilla genetic diversity. Comparative data are needed to evaluate the importance of both mechanisms of vicariance in other African rainforest taxa."
"Investigation of the protein osteocalcin of Camelops hesternus: Sequence, structure and phylogenetic implications","['Humpula, JF', 'Ostrom, PH', 'Gandhi, H', 'Strahler, JR', 'Walker, AK', 'Stafford, TW', 'Smith, JJ', 'Voorhies, MR', 'Corner, RG', 'Andrews, PC']",GEOCHIMICA ET COSMOCHIMICA ACTA,10.1016/j.gca.2007.09.003,DEC 15 2007,7,"Ancient DNA sequences offer an extraordinary opportunity to unravel the evolutionary history of ancient organisms. Protein sequences offer another reservoir of genetic information that has recently become tractable through the application of mass spectrometric techniques. The extent to which ancient protein sequences resolve phylogenetic relationships, however, has not been explored. We determined the osteocalcin amino acid sequence from the bone of an extinct Camelid (21 ka, Camelops hesternus) excavated from Isleta Cave, New Mexico and three bones of extant camelids: bactrian camel (Camelus bactrianus); dromedary camel (Camelus dromedarius) and guanaco (Llama guanacoe) for a diagenetic and phylogenetic assessment. There was no difference in sequence among the four taxa. Structural attributes observed in both modern and ancient osteocalcin include a post-translation modification, Hyp(9), deamidation of Gln(35) and Gln(39), and oxidation of Met(36). Carbamylation of the N-terminus in ancient osteocalcin may result in blockage and explain previous difficulties in sequencing ancient proteins via Edman degradation.

A phylogenetic analysis using osteocalcin sequences of 25 vertebrate taxa was conducted to explore osteocalcin protein evolution and the utility of osteocalcin sequences for delineating phylogenetic relationships. The maximum likelihood tree closely reflected generally recognized taxonomic relationships. For example, maximum likelihood analysis recovered rodents, birds and, within hominins, the Homo-Pan-Gorilla trichotomy. Within Artiodactyla, character state analysis showed that a substitution of Pro(4) for His(4) defines the Capra-Ovis clade within Artiodactyla. Homoplasy in our analysis indicated that osteocalcin evolution is not a perfect indicator of species evolution. Limited sequence availability prevented assigning functional significance to sequence changes. Our preliminary analysis of osteocalcin evolution represents an initial step towards a complete character analysis aimed at determining the evolutionary history of this functionally significant protein. We emphasize that ancient protein sequencing and phylogenetic analyses using amino acid sequences must pay close attention to post-translational modifications, amino acid substitutions due to diagenetic alteration and the impacts of isobaric amino acids on mass shifts and sequence alignments. (C) 2007 Elsevier Ltd. All rights reserved."
Habituation of western gorillas: The process and factors that influence it,"['Doran-Sheehy, DM', 'Derby, AM', 'Greer, D', 'Mongo, P']",AMERICAN JOURNAL OF PRIMATOLOGY,10.1002/ajp.20442,DEC 2007,19,"Habituation of western gorillas to human presence is generally an expensive, lengthy and difficult process. Here we describe the habituation process for two groups of western gorillas at the Mondika Research Center, with the hope that the lessons we learned will facilitate future gorilla studies. We expand upon earlier studies by describing the process through complete habituation for both males and females, and for more than one group. The major obstacle to habituation was developing sufficient tracking skills to follow gorilla trail on a daily basis. Once this was achieved, the silverback became semi-habituated (i.e. ignoring human presence during half of contacts) within a year, although the majority of group females continued to avoid humans. As female presence at contacts increased, a period of male recidivism followed, requiring an additional year before his complete habituation was reached. Habituating the females took longer than the male, but we found, contrary to earlier studies, that it consisted of the same stages, including avoidance, aggression, and curiosity before habituation. We compare results between groups and across sites and discuss how factors such as tracking abilities, group size and cohesion, population density and home range overlap, and the manner of approaching gorillas during contacts influence the habituation process."
"Interspecific and temporal variation of ant species within Acacia drepanolobium ant domatia, a staple food of patas monkeys (Erythrocebus patas) in Laikipia, Kenya","['Isbell, LA', 'Young, TP']",AMERICAN JOURNAL OF PRIMATOLOGY,10.1002/ajp.20444,DEC 2007,14,"The ants that live in the swollen thorns (domatia) of Acacia drepanolobium are staple foods for patas monkeys (Erythrocebus patas). To obtain a better understanding of these insects as resources for patas monkeys, we sampled the contents of 1,051 swollen thorns (ant domatia) over a 22-month period from December 1999 to September 2001, in Laikipia, Kenya. First, we confirmed that of the four species of ants that live on A. drepanolobium, Crematogaster sjostedti, the competitively dominant ant in this system, does not rear significant brood in the swollen thorns and is therefore not a major food item of patas monkeys. Second, across the other three species that do use swollen thorns for rearing their brood, C. nigriceps, C. mimosae, and Tetraponera penzigi, the number of worker ants per swollen thorn increased with increasing competitive dominance. Third, although there was considerable month-to-month variation in the number of workers, immatures, and especially alates (winged reproductives) within species, there was less variation across species because ant production was asynchronous. Variation in domatia contents was poorly related to rainfall for each of the three species. Finally, distal thorns held more alates and fewer workers than interior thorns, and branches higher off the ground held more alates and more workers than lower branches. For the numerically dominant C. mimosae, higher branches held significantly more immature ants than did lower branches. Ants are reliable food resources for patas monkeys, and are probably more reliable than many plant resources in this highly seasonal environment. We estimate that patas monkeys may get as much as a third of their daily caloric needs from these ants year-round. As ants and other insects are widely consumed by primates, we suggest that greater consideration be given to species differences in animal food choices and that further studies be conducted to examine the degree to which ants influence energy intake and reproduction in other primates."
"Intergroup encounters in mountain gorillas of bwindi impenetrable National Park, Uganda","['Robbins, MM', 'Sawyer, SC']",BEHAVIOUR,10.1163/156853907782512146,DEC 2007,10,"The aim of this study was to examine the influence of frugivory and social factors on behaviour during intergroup encounters in the mountain gorillas of Bwindi Impenetrable National Park, Uganda. Frugivory was associated with an increase in the frequency of intergroup encounters, but had no impact on the length of the encounter, or on the type of behaviour exhibited, suggesting that while neighbouring groups may be attracted to limited fruit patches, there was no indication of between group feeding competition. Encounters with solitary males were more likely to elicit more avoidance, less tolerance, more herding behaviour, and a trend towards more aggression than encounters with groups. The number of potential migrant females and the number of silverbacks had no impact on the type of behaviour exhibited. However, an older dominant male was less likely to be aggressive towards the opposing group when a subordinate male was present, suggesting a collective action problem rather than cooperation in multi-male groups. Combined these results suggest that between group competition is linked more to mate defence and acquisition than resource defence. This study contributes to our understanding of the relationship among intergroup encounters, feeding ecology, reproductive strategies and social structure in gorillas."
Manipulating decay time for efficient large-mammal density estimation: gorillas and dung height,"['Kuehl, HS', 'Todd, A', 'Boesch, C', 'Walsh, PD']",ECOLOGICAL APPLICATIONS,10.1890/06-0934.1,DEC 2007,12,"Large-mammal surveys often rely on indirect signs such as dung or nests. Sign density is usually translated into animal density using sign production and decay rates. In principle, such auxiliary variable estimates should be made in a spatially unbiased manner. However, traditional decay rate estimation methods entail following many signs from production to disappearance, which, in large study areas, requires extensive travel effort. Consequently, decay rate estimates have tended to be made instead at some convenient but unrepresentative location. In this study we evaluated how much bias might be induced by extrapolating decay rates from unrepresentative locations, how much effort would be required to implement current methods in a spatially unbiased manner, and what alternate approaches might be used to improve precision. To evaluate the extent of bias induced by unrepresentative sampling, we collected data on gorilla dung at several central African sites. Variation in gorilla dung decay rate was enormous, varying by up to an order of magnitude within and between survey zones. We then estimated what the effort-precision relationship would be for a previously suggested ""retrospective'' decay rate (RDR) method, if it were implemented in a spatially unbiased manner. We also evaluated precision for a marked sign count (MSC) approach that does not use a decay rate. Because they require repeat visits to remote locations, both RDR and MSC require enormous effort levels in order to gain precise density estimates. Finally, we examined an objective criterion for decay (i.e.,dung height). This showed great potential for improving RDR efficiency because choosing a high threshold height for decay reduces decay time and, consequently, the number of visits that need to be made to remote areas. The ability to adjust decay time using an objective decay criterion also opens up the potential for a ""prospective'' decay rate (PDR) approach. Further research is necessary to evaluate whether the temporal bias inherent in such an approach is small enough to ignore, given the 10 -20-fold increases in precision promised by a PDR approach."
Evolutionary consequences of fallback foods,"['Marshall, AJ', 'Wrangham, RW']",INTERNATIONAL JOURNAL OF PRIMATOLOGY,10.1007/s10764-007-9218-5,DEC 2007,21,"Primatologists use the term fallback foods to denote resources of relatively low preference that are used seasonally when preferred foods are unavailable. We examine the assumption that fallback foods play an important role in shaping morphological adaptations, behavior, and socioecology in primates. We discuss operational definitions of preferred and fallback foods and suggest that the evolutionary importance of fallback foods applies more to adaptations for processing than for harvesting foods. Equally, we propose that preferred resources tend to drive adaptations for harvesting foods. We distinguish 2 classes of fallback foods according to their roles in the diet and their evolutionary effects. Staple fallback foods are available year-round, tend to be eaten throughout the year, and seasonally can constitute up to 100% of the diet. Filler fallback foods never constitute 100% of the diet, and may be completely avoided for weeks at a time. We suggest that the availability of the 2 classes of fallback foods have different effects on the socioecology of primate species."
Handedness and grooming in Pan troglodytes: Comparative analysis between findings in captive and wild individuals,"['Hopkins, WD', 'Russell, JL', 'Remkus, M', 'Freeman, H', 'Schapiro, SJ']",INTERNATIONAL JOURNAL OF PRIMATOLOGY,10.1007/s10764-007-9221-x,DEC 2007,19,"Grooming is a complex set of motor actions, common in highly social primates. We tested for asymmetries in hand use during unimanual and bimanual allogrooming in 215 captive chimpanzees. In addition to hand use, we coded in the ethogram whether the manual grooming action co-occurred with the use of the mouth. Overall, grooming did not elicit strong handedness at the individual level, but there is a small yet significant population-level right-hand bias for bimanual grooming. Mouth use during grooming had no influence on hand use. A comparison of the findings with previously published data on handedness for grooming in wild chimpanzees suggests that wild apes are more right-handed than captive individuals are for allogrooming. Collectively, the results suggest that role differentiation of the hands is an important factor in the assessment of handedness for grooming, and perhaps additional manual actions of chimpanzees and other primates."
Effects of ecology on the gastrointestinal parasites of Alouatta pigra,"['Vitazkova, SK', 'Wade, SE']",INTERNATIONAL JOURNAL OF PRIMATOLOGY,10.1007/s10764-007-9229-2,DEC 2007,20,"We examined the effects of demographic and ecological variables on the prevalence of intestinal parasites in free-ranging black howlers, Alouatta pigra, from Belize and Mexico. We collected 253 fecal samples from 50 individually identified monkeys during 2003. We processed all samples via standard centrifugation concentration techniques with sugar and zinc sulfate as flotation media. We used antigen capture enzyme-linked immunosorbent assays to detect protozoa. We analyzed data for each season separately. The most important factor in predicting whether an Alouatta pigra would be infected with a parasite was its membership in a particular social troop. It was not possible to isolate the effects of human presence, forest fragmentation, primate density, and the absence of Ateles geoffroyi on the prevalence of parasites in Alouatta pigra because the factors covaried. We detected few species of gastrointestinal parasites, possibly due to Alouatta pigra's arboreal and herbivorous lifestyle and small geographic range. The prevalence of each parasite had a different pattern, with Controrchis sp. (presumed to be C. biliophilus), a fluke, tending to be more prevalent in Alouatta pigra that inhabited disturbed habitats, and Trypanoxyuris minutus, a pinworm, tending to be more prevalent in primates from undisturbed habitats. Giardia sp. tended to be more prevalent in primates at high densities. These results indicated that it is important to examine each parasite's infection pattern separately to obtain a more accurate representation of the dynamics among the host, parasites, and ecology."
