title,authors,journal,doi,pub_date,times_cited,abstract
The role of Pleistocene refugia and rivers in shaping gorilla genetic diversity in central Africa,"['Anthony, NM', 'Johnson-Bawe, M', 'Jeffery, K', 'Clifford, SL', 'Abernethy, KA', 'Tutin, CE', 'Lahm, SA', 'White, LJT', 'Utley, JF', 'Wickings, EJ', 'Bruford, MW']",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.0704816105,DEC 18 2007,88,"The role of Pleistocene forest refugia and rivers in the evolutionary diversification of tropical biota has been the subject of considerable debate. A range-wide analysis of gorilla mitochondrial and nuclear variation was used to test the potential role of both refugia and rivers in shaping genetic diversity in current populations. Results reveal strong patterns of regional differentiation that are consistent with refugial hypotheses for central Africa. Four major mitochondrial haplogroups are evident with the greatest divergence between eastern (A, B) and western (C, D) gorillas. Coalescent simulations reject a model of recent east-west separation during the last glacial maximum but are consistent with a divergence time within the Pleistocene. Microsatellite data also support a similar regional pattern of population genetic structure. Signatures of demographic expansion were detected in eastern lowland (B) and Gabon/Congo (D3) mitochondrial haplogroups and are consistent with a history of postglacial expansion from formerly isolated refugia. Although most mitochondrial haplogroups are regionally defined, limited admixture is evident between neighboring haplogroups. Mantel tests reveal a significant isolation-by-distance effect among western lowland gorilla populations. However, mitochondrial genetic distances also correlate with the distance required to circumnavigate intervening rivers, indicating a possible role for rivers in partitioning gorilla genetic diversity. Comparative data are needed to evaluate the importance of both mechanisms of vicariance in other African rainforest taxa."
Habituation of western gorillas: The process and factors that influence it,"['Doran-Sheehy, DM', 'Derby, AM', 'Greer, D', 'Mongo, P']",AMERICAN JOURNAL OF PRIMATOLOGY,10.1002/ajp.20442,DEC 2007,19,"Habituation of western gorillas to human presence is generally an expensive, lengthy and difficult process. Here we describe the habituation process for two groups of western gorillas at the Mondika Research Center, with the hope that the lessons we learned will facilitate future gorilla studies. We expand upon earlier studies by describing the process through complete habituation for both males and females, and for more than one group. The major obstacle to habituation was developing sufficient tracking skills to follow gorilla trail on a daily basis. Once this was achieved, the silverback became semi-habituated (i.e. ignoring human presence during half of contacts) within a year, although the majority of group females continued to avoid humans. As female presence at contacts increased, a period of male recidivism followed, requiring an additional year before his complete habituation was reached. Habituating the females took longer than the male, but we found, contrary to earlier studies, that it consisted of the same stages, including avoidance, aggression, and curiosity before habituation. We compare results between groups and across sites and discuss how factors such as tracking abilities, group size and cohesion, population density and home range overlap, and the manner of approaching gorillas during contacts influence the habituation process."
"Interspecific and temporal variation of ant species within Acacia drepanolobium ant domatia, a staple food of patas monkeys (Erythrocebus patas) in Laikipia, Kenya","['Isbell, LA', 'Young, TP']",AMERICAN JOURNAL OF PRIMATOLOGY,10.1002/ajp.20444,DEC 2007,14,"The ants that live in the swollen thorns (domatia) of Acacia drepanolobium are staple foods for patas monkeys (Erythrocebus patas). To obtain a better understanding of these insects as resources for patas monkeys, we sampled the contents of 1,051 swollen thorns (ant domatia) over a 22-month period from December 1999 to September 2001, in Laikipia, Kenya. First, we confirmed that of the four species of ants that live on A. drepanolobium, Crematogaster sjostedti, the competitively dominant ant in this system, does not rear significant brood in the swollen thorns and is therefore not a major food item of patas monkeys. Second, across the other three species that do use swollen thorns for rearing their brood, C. nigriceps, C. mimosae, and Tetraponera penzigi, the number of worker ants per swollen thorn increased with increasing competitive dominance. Third, although there was considerable month-to-month variation in the number of workers, immatures, and especially alates (winged reproductives) within species, there was less variation across species because ant production was asynchronous. Variation in domatia contents was poorly related to rainfall for each of the three species. Finally, distal thorns held more alates and fewer workers than interior thorns, and branches higher off the ground held more alates and more workers than lower branches. For the numerically dominant C. mimosae, higher branches held significantly more immature ants than did lower branches. Ants are reliable food resources for patas monkeys, and are probably more reliable than many plant resources in this highly seasonal environment. We estimate that patas monkeys may get as much as a third of their daily caloric needs from these ants year-round. As ants and other insects are widely consumed by primates, we suggest that greater consideration be given to species differences in animal food choices and that further studies be conducted to examine the degree to which ants influence energy intake and reproduction in other primates."
Manipulating decay time for efficient large-mammal density estimation: gorillas and dung height,"['Kuehl, HS', 'Todd, A', 'Boesch, C', 'Walsh, PD']",ECOLOGICAL APPLICATIONS,10.1890/06-0934.1,DEC 2007,12,"Large-mammal surveys often rely on indirect signs such as dung or nests. Sign density is usually translated into animal density using sign production and decay rates. In principle, such auxiliary variable estimates should be made in a spatially unbiased manner. However, traditional decay rate estimation methods entail following many signs from production to disappearance, which, in large study areas, requires extensive travel effort. Consequently, decay rate estimates have tended to be made instead at some convenient but unrepresentative location. In this study we evaluated how much bias might be induced by extrapolating decay rates from unrepresentative locations, how much effort would be required to implement current methods in a spatially unbiased manner, and what alternate approaches might be used to improve precision. To evaluate the extent of bias induced by unrepresentative sampling, we collected data on gorilla dung at several central African sites. Variation in gorilla dung decay rate was enormous, varying by up to an order of magnitude within and between survey zones. We then estimated what the effort-precision relationship would be for a previously suggested ""retrospective'' decay rate (RDR) method, if it were implemented in a spatially unbiased manner. We also evaluated precision for a marked sign count (MSC) approach that does not use a decay rate. Because they require repeat visits to remote locations, both RDR and MSC require enormous effort levels in order to gain precise density estimates. Finally, we examined an objective criterion for decay (i.e.,dung height). This showed great potential for improving RDR efficiency because choosing a high threshold height for decay reduces decay time and, consequently, the number of visits that need to be made to remote areas. The ability to adjust decay time using an objective decay criterion also opens up the potential for a ""prospective'' decay rate (PDR) approach. Further research is necessary to evaluate whether the temporal bias inherent in such an approach is small enough to ignore, given the 10 -20-fold increases in precision promised by a PDR approach."
Effects of ecology on the gastrointestinal parasites of Alouatta pigra,"['Vitazkova, SK', 'Wade, SE']",INTERNATIONAL JOURNAL OF PRIMATOLOGY,10.1007/s10764-007-9229-2,DEC 2007,20,"We examined the effects of demographic and ecological variables on the prevalence of intestinal parasites in free-ranging black howlers, Alouatta pigra, from Belize and Mexico. We collected 253 fecal samples from 50 individually identified monkeys during 2003. We processed all samples via standard centrifugation concentration techniques with sugar and zinc sulfate as flotation media. We used antigen capture enzyme-linked immunosorbent assays to detect protozoa. We analyzed data for each season separately. The most important factor in predicting whether an Alouatta pigra would be infected with a parasite was its membership in a particular social troop. It was not possible to isolate the effects of human presence, forest fragmentation, primate density, and the absence of Ateles geoffroyi on the prevalence of parasites in Alouatta pigra because the factors covaried. We detected few species of gastrointestinal parasites, possibly due to Alouatta pigra's arboreal and herbivorous lifestyle and small geographic range. The prevalence of each parasite had a different pattern, with Controrchis sp. (presumed to be C. biliophilus), a fluke, tending to be more prevalent in Alouatta pigra that inhabited disturbed habitats, and Trypanoxyuris minutus, a pinworm, tending to be more prevalent in primates from undisturbed habitats. Giardia sp. tended to be more prevalent in primates at high densities. These results indicated that it is important to examine each parasite's infection pattern separately to obtain a more accurate representation of the dynamics among the host, parasites, and ecology."
Genetic diversity and phylogeographic clustering of SIVcpzPtt in wild chimpanzees in Cameroon,"['Van Heuverswyn, F', 'Li, Y', 'Bailes, E', 'Neel, C', 'Lafay, B', 'Keele, BF', 'Shaw, KS', 'Takehisa, J', 'Kraus, MH', 'Loul, S', 'Butel, C', 'Liegeois, F', 'Yangda, B', 'Sharp, PM', 'Mpoudi-Ngole, E', 'Delaporte, E', 'Hahn, BH', 'Peeters, M']",VIROLOGY,10.1016/j.virol.2007.06.018,NOV 10 2007,64,"It is now well established that the clade of simian immunodeficiency viruses (SIVs) infecting west central African chimpanzees (Pan troglodytes troglodytes) and western gorillas (Gorilla gorilla gorilla) comprises the progenitors of human immunodeficiency virus type 1 (HIV-1). In this study, we have greatly expanded our previous molecular epidemiological survey of SIVcpz in wild chimpanzees in Cameroon. The new results confirm a wide but uneven distribution of SIVcpzPtt in P. t. troglodytes throughout southern Cameroon and indicate the absence of SIVcpz infection in Pan troglodytes vellerosus. Analyzing 725 fecal samples from 15 field sites, we obtained partial nucleotide sequences from 16 new SlVcpzPtt strains and determined full-length sequences for two of these. Phylogenetic analyses of these new viruses confirmed the previously reported phylogeographic clustering of SIVcpzPtt lineages, with viruses related to the ancestors of HIV-1 groups M and N circulating exclusively in southeastern and south central P. t. troglodytes communities, respectively. Importantly, the SIVcpzPtt strains from the southeastern corner of Cameroon represent a relatively isolated clade indicating a defined geographic origin of the chimpanzee precursor of HIV-1 group M. Since contacts between humans and apes continue, the possibility of ongoing transmissions of SIV from chimpanzees (or gorillas) to humans has to be considered. In this context, our finding of distinct SIVcpzPtt envelope V3 sequence clades suggests that these peptides may be useful for the serological differentiation of SIVcpzPtt and HIV-1 infections, and thus the diagnosis of new cross-species transmissions if they occurred. (C) 2007 Elsevier Inc. All rights reserved."
Using photogrammetry and color scoring to assess sexual dimorphism in wild Western Gorillas (Gorilla gorilla),"['Breuer, T', 'Robbins, MM', 'Boesch, C']",AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,10.1002/ajpa.20678,NOV 2007,25,"Investigating sexual dimorphism is important for our understanding of its influence on reproductive strategies including male-male competition, mate choice, and sexual conflict. Measuring physical traits in wild animals can be logistically challenging and disruptive for the animals. Therefore body size and ornament variation in wild primates have rarely been quantified. Gorillas are amongst the most sexually dimorphic and dichromatic primates. Adult males (silverbacks) possess a prominent sagittal crest, a pad of fibrous and fatty tissue on top of the head, have red crest coloration, their saddle appears silver, and they possess a silverline along their stomach. Here we measure levels of sexual dimorphism and within male variation of body length, head size, and sexual dichromatism in a population of wild western gorillas using photogrammetry. Digital photogrammetry is a useful and precise method to measure sexual dimorphism in physical traits yielding sexual dimorphism indices (ISD), similar to those derived from traditional measurements of skeletal remains. Silverbacks were on an average 1.23 times longer in body length than adult females. Sexual dimorphism of head size was highest in measures of crest size (max ISD: 60.4) compared with measures of facial height (max ISD: 24.7). The most sexually dimorphic head size measures also showed the highest within-sex variation. We found no clear sex differences in crest coloration but there was large sexual dichromatism with high within male variation in saddle coloration and silverline size. Further studies should examine if these sexually dimorphic traits are honest signals of competitive ability and confer an advantage in reproductive success."
Tool use during display behavior in wild Cross River gorillas,"['Wittiger, L', 'Sunderland-Groves, JL']",AMERICAN JOURNAL OF PRIMATOLOGY,10.1002/ajp.20436,NOV 2007,10,"During the course of a 3-year ecological study on Cross River gorillas (Gorilla gorilla diehli) at the Kagwene Mountain in Cameroon, we observed three cases of tool use which may be unique to the gorillas of this region and possibly learned through interactions with humans. A non-habituated group of Cross River gorillas threw fistfuls of grass toward humans in display contexts. An individual gorilla was also observed to throw a detached branch toward researchers during another encounter. The third encounter occurred between the focal group and a local man, in which the man threw stones at the gorillas and they reacted by throwing fistfuls of grass back at him. We describe these observations and speculate that this sub-population of gorillas developed this display behavior as a response to particular local conditions."
Hominoid lineage specific amplification of low-copy repeats on 22q11.2 (LCR22s) associated with velo-cardio-facial/digeorge syndrome,"['Babcock, M', 'Yatsenko, S', 'Hopkins, J', 'Brenton, M', 'Cao, Q', 'de Jong, P', 'Stankiewicz, P', 'Lupski, JR', 'Sikela, JM', 'Morrow, BE']",HUMAN MOLECULAR GENETICS,10.1093/hmg/ddm197,NOV 2007,17,"Segmental duplications or low-copy repeats (LCRs) constitute similar to 5% of the sequenced portion of the human genome and are associated with many human congenital anomaly disorders. The low-copy repeats on chromosome 22q11.2 ( LCR22s) mediate chromosomal rearrangements resulting in deletions, duplications and translocations. The evolutionary mechanisms leading to LCR22 formation is unknown. Four genes, USP18, BCR, GGTLA and GGT, map adjacent to the LCR22s and pseudogene copies are located within them. It has been hypothesized that gene duplication occurred during primate evolution, followed by recombination events, forming pseudogene copies. We investigated whether gene duplication could be detected in non-human hominoid species. FISH mapping was performed using probes to the four functional gene loci. There was evidence for a single copy in humans but additional copies in hominoid species. We then compared LCR22 copy number using LCR22 FISH probes. Lineage specific LCR22 variation was detected in the hominoid species supporting the hypothesis. To independently validate initial findings, real time PCR, and screening of gorilla BAC library filters were performed. This was compared to array comparative genome hybridization data available. The most striking finding was a dramatic amplification of LCR22s in the gorilla. The LCR22s localized to the telomeric or subtelomeric bands of gorilla chromosomes. The most parsimonious explanation is that the LCR22s became amplified by inter-chromosomal recombination between telomeric bands. In summary, our results are consistent with a lineage specific coupling between gene and LCR22 duplication events. The LCR22s thus serve as an important model for evolution of genome variation."
Phylogenetic diversity and the conservation biogeography of African primates,"['McGoogan, K', 'Kivell, T', 'Hutchison, M', 'Young, H', 'Blanchard, S', 'Keeth, M', 'Lehman, SM']",JOURNAL OF BIOGEOGRAPHY,10.1111/j.1365-2699.2007.01759.x,NOV 2007,11,"Aim Phylogenetics has an important role in conservation biogeography. However, there are few data on the phylogenetic diversity of African primates. The phylogenetic diversity (PD) of a species is a measure of its taxonomic distinctness and can be estimated by looking at the phylogenetic relationships among taxa. Species-specific metrics on PD can then be used to determine conservation priorities at various biogeographical scales. We used PD metrics to rank 55 African primate species according to their conservation priorities at the country level and within six African biogeographical regions. We also addressed the following question: are there differences in conservation rankings between the IUCN Red List and our PD metrics?

Location Africa.

Methods We created a consensus phylogeny for all African primate clades based on genetic studies. Analyses of species distributions were determined using presence/absence scores at two levels: country and biogeographical region. A node-based method that standardizes for widespread taxa and endemicity was used to calculate PD indices. Hierarchical cluster analysis was used to convert one of the standardized, phylogenetic indices into three clusters that could be ranked and compared with the main IUCN conservation rankings of endangered, vulnerable, and lower risk.

Results At the country and region levels, the top-priority species in terms of PD are Pan paniscus, Macaca sylvanus, Arctocebus calabarensis, Gorilla beringei, Arctocebus aureus, Allenopithecus nigroviridis, Gorilla gorilla, Procolobus verus, Cercopithecus solatus, Cercocebus galeritus, Colobus angolensis, Theropithecus gelada, Galagoides zanzibaricus, Galagoides granti, and Procolobus (Piliocolobus) badius. Geographic rankings were highest for the Democratic Republic of the Congo (country level) and Central Africa (region level). Although there were no overall differences between IUCN conservation ranks and the PD rankings, there were significant differences between the two systems for vulnerable and endangered primate taxa.

Main conclusions There are few ecological and behavioural data on populations of some of the African primates that represent the highest levels of phylogenetic diversity. Studies of primate taxa with high PD rankings should focus on identifying sites suitable for intensive studies of population densities, feeding ecology, and reproductive behaviour. We suggest that PD metrics can serve as an important, complementary data set in the IUCN ranking system for primates."
