title,authors,journal,doi,pub_date,times_cited,abstract
Embryonic water uptake during pregnancy is stage- and fecundity-dependent in the snake Vipera aspis,"['Lourdais, O', 'Lorioux, S', 'Dupoue, A', 'Wright, C', 'DeNardo, DF']",COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,10.1016/j.cbpa.2015.07.019,NOV 2015,1,"Water is a crucial resource that can profoundly impact the biology of terrestrial organisms. Early life stages are particularly sensitive to hydric constraints because water uptake is an important component of embryonic development. While amniotic eggs constitute a key innovation to terrestrial life, many vertebrates are viviparous wherein the mother must be the source of water for her developing embryos. Since most viviparous squamates are lecithotrophic (i.e., energy is supplied to the offspring as yolk deposited into pre-ovulated follicles), water is the predominant resource allocated from the mother to the offspring during development. Contrary to energy that can be stored (e.g., as fat reserves), water typically cannot be acquired in advance. Therefore, the embryos' need for water can impose significant constraints on the pregnant female. We detailed water flux during pregnancy in a viviparous snake, the aspic viper (Vipera aspis). We found that embryonic water uptake occurred mostly during the second half of pregnancy a period dominated by somatic growth. We also found that, somewhat unexpectedly, changes in female plasma osmolality were negatively related to fecundity. This latter result suggests that water consumption by the female is especially important for large litter sizes, and thus may suggest an important sensitivity of reproductive females to environmental water availability. (C) 2015 Elsevier Inc. All rights reserved."
Dehydration and drinking behavior in true sea snakes (Elapidae: Hydrophiinae: Hydrophiini),"['Lillywhite, HB', 'Heatwole, H', 'Sheehy, CM', 'LATICAUDA SPP.']",JOURNAL OF ZOOLOGY,10.1111/jzo.12239,AUG 2015,0,"Water is an essential resource affecting behavior and the acquisition of energy, especially in environments where water is spatially or temporally restricted or unavailable. Recent investigations have shown that several species of marine snakes dehydrate at sea and are dependent on environmental sources of fresh water to maintain water balance. However, in this context, little is known concerning the majority of 'true' sea snakes (Hydrophiini). We investigated the dehydration and drinking responses of five species of hydrophiin sea snakes collected during the dry season in northern Australia. None of these snakes drank sea water, even when dehydrated. Dehydrated individuals of Hydrophis curtus, H. elegans and H. zweifeli drank fresh water, and the mean threshold levels of dehydration that first elicited drinking were deficits of -26, -29 and -27% of body mass, respectively. Individuals of Aipysurus mosaicus and H. peronii did not drink fresh water when similarly dehydrated. Few snakes that we collected following > 4 months of drought drank fresh water immediately after capture. Hydrophiin species appear to have a high resistance to dehydration, which they evidently tolerate in marine habitats for extended periods during drought. Thirst in these species is significantly less sensitive than in other species, suggesting that marine snakes have variable requirements for drinking fresh water. These data illustrate that sea snakes are characterized by diverse responses to dehydration and likely have different osmoregulatory strategies for survival, with implications for better understanding the evolutionary success of secondarily marine vertebrates and their potential responses to future changes in tropical precipitation."
Characterization of the gila monster (Heloderma suspectum suspectum) venom proteome.,"['Sanggaard, Kristian W', 'Dyrlund, Thomas F', 'Thomsen, Line R', 'Nielsen, Tania A', 'Brondum, Lars', 'Wang, Tobias', 'Thogersen, Ida B', 'Enghild, Jan J']",Data in brief,10.1016/j.dib.2015.01.007,2015-Jun,0,"The data presented here is related to the research article entitled ""Characterization of the gila monster (Heloderma suspectum suspectum) venom proteome"" by Sanggaard et al. in Journal of Proteomics [1]. The gila monster venom was collected, analyzed by 2D-gel electrophoresis and after Coomassie-Brilliant Blue staining the major spots were excised, subjected to in-gel trypsin digestion, and analyzed by LC-MS/MS. Subsequently, the venom proteins were identified based on de novo sequencing and homology searching. The mass spectrometry proteomics data have been deposited to the ProteomeXchange (dataset identifier PXD0001343), and in the present article we present an overview of the identified proteins. Protein identification failed for three of the selected spots, with the method described above. Instead, an iterative process, based on de novo sequencing, was employed."
"Early Pleistocene (Blancan) Helodermatid Lizard from Arizona, USA","['Mead, JI', 'Holte, S', 'White, RS', 'McCord, R', 'XENOSAURUS']",JOURNAL OF HERPETOLOGY,10.1670/13-222,JUN 2015,0,"Two cranial osteoderms and a maxilla assigned to Heloderma suspectum (Squamata, Helodermatidae) were recovered from the 111 Ranch fossil locality, San Simon Valley, Graham County, southeastern Arizona. A minimum age of the deposits and fossils is approximately 2.7-2.4 million years ago, latest Blancan Land Mammal Age, spanning the Pliocene-Pleistocene boundary. The presence of a pronounced deep venom grove and a tooth count of eight indicate that the maxilla belongs to Heloderma and not the closely related and extinct Lowesaurus or Eurheloderma. The highly reduced nasolacrimal fossa and the shortened projection of the maxillary lappet on the fossil agree with the condition in H. suspectum and not in Heloderma horridum. During this transition time, the locality was a mosaic grassland-woodland ecosystem with open water and riparian niches occupied with grazing and browsing mammals."
Ultrastructural features of skin pigmentation in the lizard Heloderma suspectum with emphasis on xanto-melanophores,"['Alibardi, L']",ACTA ZOOLOGICA,10.1111/azo.12062,APR 2015,0,"The morphological origin of the dark and pink-orange areas in the skin of the venomous lizard Heloderma suspectum is not known. Histology and electron microscopy show that dark-grey areas of the skin derived from dermal chromatophores localized in specific areas present underneath the epidermis. A dynamic chromatophoric unit in the dermis is absent. In the darkest areas of the skin, the accumulation of melanosomes in cells of the beta-layer contributes to increase the black intensity. In the orange-pink areas, the superficial dermis contains xantophores storing numerous carotenoid vesicles, rare or absent lamellated pterinosomes and a variable number of melanosomes. These xanto-melanophores predominate over the remaining chromatophores and form a continuous stratum underneath the epidermis. Beneath this lipoid-rich stratum, iridophores are infrequent and do not form a continuous layer in the dermis. In the paler areas of the skin, melanophores are sparse in both superficial and deeper part of the dermis where irregularly oriented bundles of collagen fibrils are present. The prevalent xanto-melanophores localized in the pink-orange areas of the skin contribute to an effective sunlight protection in desert conditions in addition to the darker regions occupied by melanophores."
Characterization of the gila monster (Heloderma suspectum suspectum) venom proteome,"['Sanggaard, KW', 'Dyrlund, TF', 'Thomsen, LR', 'Nielsen, TA', 'Brondum, L', 'Wang, T', 'Thogersen, IB', 'Enghild, JJ']",JOURNAL OF PROTEOMICS,10.1016/j.jprot.2015.01.004,MAR 18 2015,0,"The archetypical venomous lizard species are the helodermatids, the gila monsters (Heloderma suspectum) and the beaded lizards (Heloderma horridum). In the present study, the gila monster venom proteome was characterized using 2D-gel electrophoresis and tandem mass spectrometry-based de novo peptide sequencing followed by protein identification based on sequence homology. A total of 39 different proteins were identified out of the 58 selected spots that represent the major constituents of venom. Of these proteins, 19 have not previously been identified in helodermatid venom. The data showed that helodermatid venom is complex and that this complexity is caused by genetic isoforms and post-translational modifications including proteolytic processing. In addition, the venom proteome analysis revealed that the major constituents of the gila monster venom are kallikrein-like serine proteinases (EC 3.4.21) and phospholipase A(2) (type III) enzymes (EC 3.1.1.4). A neuroendocrine convertase 1 homolog that most likely converts the proforms of the previously identified bioactive exendins into the mature and active forms was identified suggesting that these peptide toxins are secreted as proforms that are activated by proteolytic cleavage following secretion as opposed to being activated intracellularly. The presented global protein identification-analysis provides the first overview of the helodermatid venom composition.

Biological significance

The helodermatid lizards are the classical venomous lizards, and the pharmacological potential of the venom from these species has been known for years; best illustrated by the identification of exendin-4, which is now used in the treatment of type 2 diabetes. Despite the potential, no global analyses of the protein components in the venom exist. A hindrance is the lack of a genome sequence because it prevents protein identification using a conventional approach where MS data are searched against predicted protein sequences based on the genome sequence. However, in the recent years the development of software tools for de novo sequencing and homology searches have improved significantly facilitating the first global analysis of the major protein components of helodermatid venom presented in this study. We have used a 2D-gel approach and determined the protein components in the 58 major spots resulting in the identification of 39 unique proteins. Of these, 19 have not previously been identified in helodermatid venom. The analysis provides results with impact on our understanding of the function and evolution of venom proteins, and serves as a basis for further unraveling of the pharmaceutical potential of the venom components. (C) 2015 Elsevier B.V. All rights reserved."
Intergenerational trade-off for water may induce a mother-offspring conflict in favour of embryos in a viviparous snake,"['Dupoue, A', 'Brischoux, F', 'Angelier, F', 'DeNardo, DF', 'Wright, CD', 'Lourdais, O']",FUNCTIONAL ECOLOGY,10.1111/1365-2435.12349,MAR 2015,3,"Parent-offspring conflicts are likely to occur when resources are limiting either at pre- or post-natal stages due to intergenerational trade-offs over resources. Current theory posits that such conflicts may influence the evolution of parental allocation as well as reproductive modes. While energy allocation to the offspring has received considerable attention, the distribution of water - another potentially limited vital resource to both the mother and offspring - and the resulting outcomes remain grossly understudied. Here, we explored the intergenerational trade-off related to water resources in the viviparous aspic viper (Vipera aspis) by examining the effects of water deprivation on female physiology (body mass, haematocrit and osmolality), water transfer to developing embryos and reproductive performance. As a result of water deprivation, females became dehydrated, with the effects more pronounced in pregnant compared to nonreproductive females. Among pregnant females, the impacts of water deprivation on water balance were correlated with fecundity. In contrast, water deprivation had no effect on water transfer to the offspring or on reproductive performance. Our results demonstrate that, under water-constraining conditions, female water balance is compromised in favour of the developing embryos, highlighting a significant intergenerational trade-off for water. Although ectothermic reptiles are particularly tolerant in water balance perturbations, our results suggest that, like energy, water can be a conflicting resource between mother and offspring. Parent-offspring conflict over water should therefore be further investigated to better understand reproductive modes and reproductive trade-offs in terrestrial organisms."
Problems with mitigation translocation of herpetofauna,"['Sullivan, BK', 'Nowak, EM', 'Kwiatkowski, MA']",CONSERVATION BIOLOGY,10.1111/cobi.12336,FEB 2015,3,"Mitigation translocation of nuisance animals is a commonly used management practice aimed at resolution of human-animal conflict by removal and release of an individual animal. Long considered a reasonable undertaking, especially by the general public, it is now known that translocated subjects are negatively affected by the practice. Mitigation translocation is typically undertaken with individual adult organisms and has a much lower success rate than the more widely practiced conservation translocation of threatened and endangered species. Nonetheless, the public and many conservation practitioners believe that because population-level conservation translocations have been successful that mitigation translocation can be satisfactorily applied to a wide variety of human-wildlife conflict situations. We reviewed mitigation translocations of reptiles, including our own work with 3 long-lived species (Gila monsters [Heloderma suspectum], Sonoran desert tortoises [Gopherus morafkai], and western diamond-backed rattlesnakes [Crotalus atrox]). Overall, mitigation translocation had a low success rate when judged either by effects on individuals (in all studies reviewed they exhibited increased movement or increased mortality) or by the success of the resolution of the human-animal conflict (translocated individuals often returned to the capture site). Careful planning and identification of knowledge gaps are critical to increasing success rates in mitigation translocations in the face of increasing pressure to find solutions for species threatened by diverse anthropogenic factors, including climate change and exurban and energy development. Problemas con la Mitigacion por Traslocacion de Herpetofauna

Resumen La mitigacion de animales molestos por traslocacion comunmente se usa como una practica de manejo enfocada a la resolucion del conflicto humano-animal por remocion y liberacion de un animal. Considerada durante mucho tiempo un proyecto razonable, especialmente por el publico en general, ahora se sabe que los sujetos traslocados se ven afectados negativamente por la practica. La mitigacion por traslocacion se emprende tipicamente con organismos adultos y tiene una tasa de exito mucho mas baja que la ampliamente practicada traslocacion para la conservacion de especies amenazadas y en peligro. Sin embargo, el publico y muchos practicantes de la conservacion creen que como las traslocaciones de conservacion a nivel de poblacion han sido exitosas entonces la mitigacion por traslocacion puede aplicarse satisfactoriamente a una amplia variedad de situaciones de conflicto humano-vida silvestre. Revisamos la mitigacion de reptiles por traslocacion, incluido nuestro propio trabajo con tres especies de larga vida: monstruo de Gila (Heloderma suspectum), tortugas del desierto de Sonora (Gopherus morafkai) y la serpiente de cascabel (Crotalus atrox). En general, la mitigacion por traslocacion tuvo una baja tasa de exito al ser juzgada por los efectos sobre los individuos (en todos los estudios revisados exhibieron incremento en movimiento y mortalidad) o por el exito de la resolucion de los conflictos humano-animal (los individuos traslocados a menudo regresaban al sitio de captura). La planeacion cuidadosa y la identificacion de los vacios de conocimiento son criticos para incrementar las tasas de exito en mitigacion por traslocacion de cara a una presion creciente para encontrar soluciones para las especies amenazadas por diversos factores antropogenicos, incluidos el cambio climatico y el desarrollo de energia exurbano."
Gila monster (Heloderma suspectum) envenomation: Descriptive analysis of calls to United States Poison Centers with focus on Arizona cases,"['French, R', 'Brooks, D', 'Ruha, AM', 'Shirazi, F', 'Chase, P', 'Boesen, K', 'Walter, F']",CLINICAL TOXICOLOGY,10.3109/15563650.2014.988791,JAN 2015,0,"Background. The Gila monster (Heloderma suspectum) is a venomous lizard native to the deserts of southwestern United States (US) and northern Mexico. The purpose of this study was to describe human exposures to Gila monsters reported to US poison control centers (PCCs) with a focus on Arizona cases. Methods. The American Association of Poison Control Centers' National Poison Data System (NPDS) was used to access and retrospectively review all calls to US PCCs, concerning Gila monsters between January 1, 2000 and October 31, 2011. In addition, detailed records from the two Arizona PCCs were reviewed for the same time period. Results. A total of 319 calls regarding Gila monsters were identified in the NPDS. Of these, 105 (33%) were human exposures; most (79%) occurred in males. A total of 71 (68%) of these 105 cases were referred to a health care facility (HCF); 30 (29%) were managed on-site. Of the 71 HCF referrals, 36 (51%) were discharged home and 17 (24%) were admitted. Most (65%) admissions were to an intensive care unit (ICU). Arizona's PCCs received 70 unique reports of Gila monster bite. Most (77%) of the bites in Arizona involved an upper extremity. Eight (11%) involved patients under the age of 18 years. Eleven (16%) Arizona cases were work-related. Twenty-eight (40%) of the 70 bites in Arizona were evaluated in a HCF, but not admitted. Eleven (16%) were admitted, of which five were to an ICU. Six patients had edema of airway structures; three required emergent airway management, one by cricothyrotomy. There were no deaths. Conclusion. Gila monster bites are uncommon. Many cases did not require hospitalization. Edema of airway structures is an infrequent, but life-threatening complication."
Molecular Characterization of a Lizard Adenovirus Reveals the First Atadenovirus with Two Fiber Genes and the First Adenovirus with Either One Short or Three Long Fibers per Penton,"['Penzes, JJ', 'Menendez-Conejero, R', 'Condezo, GN', 'Ball, I', 'Papp, T', 'Doszpoly, A', 'Paradela, A', 'Perez-Berna, AJ', 'Lopez-Sanz, M', 'Nguyen, TH', 'van Raaij, MJ', 'Marschang, RE', 'Harrach, B', 'Benko, M', 'San Martin, C']",JOURNAL OF VIROLOGY,10.1128/JVI.00306-14,OCT 2014,5,"Although adenoviruses (AdVs) have been found in a wide variety of reptiles, including numerous squamate species, turtles, and crocodiles, the number of reptilian adenovirus isolates is still scarce. The only fully sequenced reptilian adenovirus, snake adenovirus 1 (SnAdV-1), belongs to the Atadenovirus genus. Recently, two new atadenoviruses were isolated from a captive Gila monster (Heloderma suspectum) and Mexican beaded lizards (Heloderma horridum). Here we report the full genomic and proteomic characterization of the latter, designated lizard adenovirus 2 (LAdV-2). The double-stranded DNA (dsDNA) genome of LAdV-2 is 32,965 bp long, with an average G+C content of 44.16%. The overall arrangement and gene content of the LAdV-2 genome were largely concordant with those in other atadenoviruses, except for four novel open reading frames (ORFs) at the right end of the genome. Phylogeny reconstructions and plesiomorphic traits shared with SnAdV-1 further supported the assignment of LAdV-2 to the Atadenovirus genus. Surprisingly, two fiber genes were found for the first time in an atadenovirus. After optimizing the production of LAdV-2 in cell culture, we determined the protein compositions of the virions. The two fiber genes produce two fiber proteins of different sizes that are incorporated into the viral particles. Interestingly, the two different fiber proteins assemble as either one short or three long fiber projections per vertex. Stoichiometry estimations indicate that the long fiber triplet is present at only one or two vertices per virion. Neither triple fibers nor a mixed number of fibers per vertex had previously been reported for adenoviruses or any other virus.

IMPORTANCE

Here we show that a lizard adenovirus, LAdV-2, has a penton architecture never observed before. LAdV-2 expresses two fiber proteins-one short and one long. In the virion, most vertices have one short fiber, but a few of them have three long fibers attached to the same penton base. This observation raises new intriguing questions on virus structure. How can the triple fiber attach to a pentameric vertex? What determines the number and location of each vertex type in the icosahedral particle? Since fibers are responsible for primary attachment to the host, this novel architecture also suggests a novel mode of cell entry for LAdV-2. Adenoviruses have a recognized potential in nanobiomedicine, but only a few of the more than 200 types found so far in nature have been characterized in detail. Exploring the taxonomic wealth of adenoviruses should improve our chances to successfully use them as therapeutic tools."
