title,authors,journal,doi,pub_date,times_cited,abstract
Egyptian Vultures (Neophron percnopterus) attack Golden Eagles (Aquila chrysaetos) to defend their fledgling,"['Mateo, P', 'Olea, PP']",JOURNAL OF RAPTOR RESEARCH,10.3356/0892-1016(2007)41[339:EVNPAG]2.0.CO;2,DEC 2007,4,NA
"Geographical variation in cloacal microflora and bacterial antibiotic resistance in a threatened avian scavenger in relation to diet and livestock farming practices (Retracted article. See vol. 14, pg. 3289, 2012)","['Blanco, G', 'Lemus, JA', 'Grande, J', 'Gangoso, L', 'Grande, JM', 'Donazar, JA', 'Arroyo, B', 'Frias, O', 'Hiraldo, F']",ENVIRONMENTAL MICROBIOLOGY,10.1111/j.1462-2920.2007.01291.x,JUL 2007,29,"The impact on wildlife health of the increase in the use of antimicrobial agents with the intensification of livestock production remains unknown. The composition, richness and prevalence of cloacal microflora as well as bacterial resistance to antibiotics in nestlings and full-grown Egyptian vultures Neophron percnopterus were assessed in four areas of Spain in which the degree of farming intensification differs. Differences in diet composition, especially the role of stabled livestock carrion, appear to govern the similarities of bacterial flora composition among continental populations, while the insular vulture population (Fuerteventura, Canary Islands) showed differences attributed to isolation. Evidence of a positive relationship between the consumption of stabled livestock carrion and bacterial resistance to multiple antibiotics was found. Bacterial resistance was high for semisynthetic penicillins and enrofloxacin, especially in the area with the most intensive stabled livestock production. The pattern of antibiotic resistance was similar for the different bacterial species within each area. Bacterial resistance to antibiotics may be determined by resistance of bacteria present in the livestock meat remains that constituted the food of this species, as indicated by the fact that resistance to each antibiotic was correlated in Escherichia coli isolated from swine carrion and Egyptian vulture nestlings. In addition, resistance in normal faecal bacteria (present in the microflora of both livestock and vultures) was higher than in Staphylococcus epidermidis, a species indicator of the transient flora acquired presumably through the consumption of wild rabbits. Potential negative effects of the use of antimicrobials in livestock farming included the direct ingestion of these drug residues and the effects of bacterial antibiotic resistance on the health of scavengers."
Safety of meloxicam to critically endangered Gyps vultures and other scavenging birds in India,"['Swarup, D', 'Patra, RC', 'Prakash, V', 'Cuthbert, R', 'Das, D', 'Avari, P', 'Pain, DJ', 'Green, RE', 'Sharma, AK', 'Saini, M', 'Das, D', 'Taggart, M']",ANIMAL CONSERVATION,10.1111/j.1469-1795.2006.00086.x,MAY 2007,28,"Widespread veterinary use of the non-steroidal anti-inflammatory drug diclofenac is responsible for the population collapse of three species of Gyps vulture in south Asia; these species are now critically endangered. Vultures die when they consume carcasses of livestock that contain lethal residues of diclofenac. National and international conservation organizations have urgently recommended that diclofenac be banned and replaced with alternative drugs that are relatively safe to Gyps vultures and other scavenging birds. We tested the safety of the NSAID meloxicam on the oriental white-backed vulture, long-billed vulture and a range of other scavenging birds in India (Egyptian vulture Neophron percnopterus, cattle egret Bubulcus ibis, house crow Corvus splendens, large-billed crow Corvus machrorhynchos and common mynah Acridotheres tristis). Meloxicam was administered by oral intubation [at 0.5 and 2.0 mg kg(-1) vulture body weight (bw)], or through feeding with muscle or liver tissue (at 0.3 to 2.1 mg kg(-1) vulture bw) from meloxicam-treated buffalo Bubalus bubalis. We estimate that 2.0 mg kg(-1) bw is the maximum likely exposure in the wild. All 31 Gyps vultures and the 20 other scavenging birds given meloxicam survived. Feeding behaviour remained normal and there were no significant differences between the treated and control groups in body mass, or the blood haematology and biochemistry parameters monitored, including those known to be affected by diclofenac (uric acid levels and alanine transferase activity). Meloxicam is used to treat a wide range of livestock ailments and is licensed and manufactured in India. We recommend that meloxicam be introduced as rapidly as possible across the Indian sub-continent as an alternative to diclofenac."
"Habitat, human pressure, and social behavior: Partialling out factors affecting large-scale territory extinction in an endangered vulture","['Carrete, M', 'Grande, JM', 'Tella, JL', 'Sanchez-Zapata, JA', 'Donazar, JA', 'Diaz-Delgadoa, R', 'Romo, A']",BIOLOGICAL CONSERVATION,10.1016/j.biocon.2006.11.025,APR 2007,58,"Extinctions are often the result of multiple factors that are difficult to disentangle and so methods for identifying simple and combined types of extinctions are valuable for both basic and applied ecology. We applied a modification of variance partitioning and a hierarchical partitioning analysis to test several hypotheses that attempt to explain the recent large-scale disappearance of Egyptian Vulture breeding territories in Spain. Our aim was to identify and then separate the simple (or pure) from the combined effects of habitat features, human pressure, and the social behavior of the species on the risk of extinction from a territory while controlling for spatial autocorrelation. Deviance partitioning showed that a complex mix of factors is significantly related to the disappearance of more than 400 territories throughout Spain. Abandoned territories were located in areas that are isolated from other conspecific territories and far from communal roost sites. In addition, these territories were found in places where there is a lack of natural habitats, high habitat fragmentation and reduced habitat diversity, and where food availability seems to be low and the illegal use of poison to control predators is a common practice. Deviance partitioning also showed an important spatial component in the probability of extinction. Abandoned territories were not randomly distributed; rather, they were aggregated in extinction 'hotspots', mainly related to food availability and human pressure. Deviance partitioning turned out to be an useful tool for identifying the relative contribution of a variety of factors - and their combined effects - associated with an extinction process. The deviance explained by each factor must be interpreted, however, in the context of a good knowledge of the life history of the species. Hierarchical partitioning can help rank conservation priorities and, by using as an objective criterion the relative weight of each independent variable that could be effectively managed for conservation, may provide wildlife managers with a means of saving funds and optimizing action plans. (C) 2006 Elsevier Ltd. All rights reserved."
Population size and breeding performance of Egyptian vultures (Neophron percnopterus) in eastern Iberian Peninsula,"['Garcia-Ripolles, C', 'Lopez-Lopez, P']",JOURNAL OF RAPTOR RESEARCH,10.3356/0892-1016(2006)40[217:PSABPO]2.0.CO;2,SEP 2006,14,"The Iberian Peninsula, and primarily Spain, includes about 50% of the Egyptian Vulture (Neophron percnopterus) population in the western Palearctic. This endangered species has experienced a sharp decline in southern Europe since the end of the nineteenth century and has become extinct in most of its former distribution area. In this paper we report the Egyptian Vulture population trend between 1988-2005, and the number of breeding pairs and reproductive performance, 2003-2005, in Castellon province of eastern Spain. The number of breeding pairs increased from one pair in 1989 to 12 in 2005, probably due to the absence of poisoning and direct persecution in the Castellon province. From 2003-2005, we observed 34 breeding attempts at 23 different breeding sites. Mean chicks fledged per occupied territory was 0.91 +/- 0.08, mean chicks fledged per successful pair was 1.20 +/- 0.09, and mean breeding success was 0.76 +/- 0.07 successful pairs per breeding pair."
Successful fostering of a captive-born Egyptian vulture (Neophron percnopterus) in Sicily,"['Di Vittorio, M']",JOURNAL OF RAPTOR RESEARCH,10.3356/0892-1016(2006)40[247:SFOACE]2.0.CO;2,SEP 2006,1,NA
Rapid population declines of Egyptian vulture (Neophron percnopterus) and red-headed vulture (Sarcogyps calvus) in India,"['Cuthbert, R', 'Green, RE', 'Ranade, S', 'Saravanan, S', 'Pain, DJ', 'Prakash, V', 'Cunningham, AA']",ANIMAL CONSERVATION,10.1111/j.1469-1795.2006.00041.x,AUG 2006,32,"Since the early 1990s, large and rapid population declines of three species of vulture (Gyps spp.) endemic to south Asia have occurred on the Indian subcontinent and have led to these species being listed by IUCN as critically endangered. Evidence of rates of population decline, cause of death and toxicity is consistent with these declines being caused by poisoning of vultures through the ingestion of tissues from livestock treated with the anti-inflammatory drug diclofenac. In this paper, analysis of repeated surveys in and near protected areas widely spread across India shows that populations of two other vulture species, Egyptian vulture Neophron percnopterus and red-headed vulture Sarcogyps calvus, have also declined markedly and rapidly, but probably with a later onset than Gyps vultures in the same region. The declines continued at least up to 2003. It is recommended that these two species are considered for inclusion in the IUCN Red List and for urgent remedial conservation measures. Research is needed to determine whether or not the principal cause of these declines is diclofenac poisoning and to establish population trends in other scavenging birds in the Indian subcontinent."
"MtDNA genetic diversity and population history of a dwindling raptorial bird, the red kite (Milvus milvus)","['Roques, S', 'Negro, JJ']",BIOLOGICAL CONSERVATION,10.1016/j.biocon.2005.04.020,NOV 2005,27,"The red kite (Milvus milvus) occurs in a relatively small area in the southwestern Palearctic region, with population strongholds in Central Europe. Following strong human persecutions at the beginning of the 20th century, populations have receded, particularly in peripheral areas and islands. In order to describe and compare levels of genetic diversity and phylogeographic patterns throughout its entire distribution in Europe, sequence variation of a 357 bps part of the mitochondrial DNA control region was assessed in eight populations and 105 individuals. Overall, results indicate that population declines have affected red kite mtDNA variation. We found low levels of genetic diversity (values of nucleotide diversity ranging from 0 in Majorca island to 0.0062 in Central Europe), with only 10 distinct haplotypes, separated by low levels of genetic divergence (mean sequence divergence = 0.75%). Highest haplotype and nucleotide diversities match with demographic expectations, and were found in Central European and Central Spanish samples, where present strongholds occur, and lowest values in the declining southern Spanish and insular samples. Phi st estimates indicated moderate gene flow between populations. Phylogeographic patterns and mismatch distributions analyses suggest central European regions may have been colonized from southern glacial refugia (in the Italian or Iberian peninsulas). Interspecific phylogenetic comparisons and divergence date estimates indicated the genetic split between the red kite and its closely related species, the black kite (Milvus migrans), might be relatively recent. The low level of genetic variation found in the red kite mitochondrial control region, compared to the black kite, is likely the result of relatively recent divergence (associated with founder events), successive bottlenecks and small population sizes. As there are several ongoing projects aimed at reinforcing populations in countries such as the United Kingdom, Italy or Spain, our results may prove useful for the genetic management of the species. (c) 2005 Elsevier Ltd. All rights reserved."
Ground nesting by Egyptian vultures (Neophron percnopterus) in the Canary Islands,"['Gangoso, L', 'Palacios, CJ']",JOURNAL OF RAPTOR RESEARCH,NA,JUN 2005,5,NA
Plasma B-esterase activities in European raptors,"['Roy, C', 'Grolleau, G', 'Chamoulaud, S', 'Riviere, JL']",JOURNAL OF WILDLIFE DISEASES,NA,JAN 2005,21,"B-esterases are serine hydrolases composed of cholinesterases, including acetylcholinesterase (AChE) and butyrylcholinesterase (BChE), and carboxylesterase (CbE). These esterases, found in blood plasma, are inhibited by organophosphorus (OP) and carbamate (CB) insecticides and can be used as nondestructive biomarkers of exposure to anticholinesterase insecticides. Furthermore, B-esterases are involved in detoxification of these insecticides. In order to establish the level of these enzymes and to have reference values for their normal activities, total plasma cholinesterase (ChE), AChE and BChE activities, and plasma CbE activity were determined in 729 European raptors representing 20 species, four families, and two orders. The diurnal families of the Falconiforme order were represented by Accipitridae and Falconidae and the nocturnal families of the Strigiforme order by Tytonidae and Strigidae. Intraspecies differences in cholinesterase activities according to sex and/or age were investigated in buzzards (Buteo buteo), sparrowhawks (Accipiter nisus), kestrels (Falco tinnunculus), barn owls (Tyto alba), and tawny owls (Strix aluco). Sex-related differences affecting ChE and AChE activities were observed in young kestrels (2-3-mo-old) and age-related differences in kestrels (ChE and AChE), sparrowhawks (AChE), and tawny owls (ChE, AChE, and BChE). The interspecies analysis yielded a negative correlation between ChE activity and body mass taking into account the relative contribution of AChE and BChE to ChE activity, with the exception of the honey buzzard (Pernis apivorus). The lowest ChE activities were found in the two largest species, Bonelli's eagle (Hieraaetus fasciatus) and Egyptian vulture (Neophron percnopterus) belonging to the Accipitridae family. The highest ChE activities were found in the relatively small species belonging to the Tytonidae and Strigidae families and in honey buzzard of the Accipitridae family. Species of the Accipitridae, Tytonidae, and Strigidae families were characterized by a BChE contribution that dominated the total ChE activity, while in the species of the Falconidae family, AChE activity dominated. With the exception of the barn owl, CbE activity (eserine-insensitive alpha-naphthyl acetate esterase [alpha-NAE] activity) in all species was almost absent or very low. The values obtained in this study for ChE, AChE, and BChE activities and the AChE:BChE ratios for buzzard, kestrel, barn owl, and tawny owl provide a good estimate of the normal values in free-living individuals of these European species. They can be used as a baseline to evaluate the effect of anticholinesterase insecticides in the field."
