title,authors,journal,doi,pub_date,times_cited,abstract
Interference of the Histone Deacetylase Inhibits Pollen Germination and Pollen Tube Growth in Picea wilsonii Mast,"['Cui, YN', 'Ling, Y', 'Zhou, JH', 'Li, XJ']",PLOS ONE,10.1371/journal.pone.0145661,DEC 28 2015,0,"Histone deacetylase (HDAC) is a crucial component in the regulation of gene expression in various cellular processes in animal and plant cells. HDAC has been reported to play a role in embryogenesis. However, the effect of HDAC on androgamete development remains unclear, especially in gymnosperms. In this study, we used the HDAC inhibitors trichostatin A (TSA) and sodium butyrate (NaB) to examine the role of HDAC in Picea wilsonii pollen germination and pollen tube elongation. Measurements of the tip-focused Ca2+ gradient revealed that TSA and NaB influenced this gradient. Immunofluorescence showed that actin filaments were disrupted into disorganized fragments. As a result, the vesicle trafficking was disturbed, as determined by FM4-64 labeling. Moreover, the distribution of pectins and callose in cell walls was significantly altered in response to TSA and NaB. Our results suggest that HDAC affects pollen germination and polarized pollen tube growth in Picea wilsonii by affecting the intracellular Ca2+ concentration gradient, actin organization patterns, vesicle trafficking, as well as the deposition and configuration of cell wall components."
"Integration of Visual and Olfactory Cues in Host Plant Identification by the Asian Longhorned Beetle, Anoplophora glabripennis (Motschulsky) (Coleoptera: Cerambycidae)","['Yv, FL', 'Hai, XX', 'Wang, ZG', 'Yan, AH', 'Liu, BX', 'Bi, YG']",PLoS One,10.1371/journal.pone.0142752,NOV 10 2015,1,"Some insects use host and mate cues, including odor, color, and shape, to locate and recognize their preferred hosts and mates. Previous research has shown that the Asian longicorn beetle, Anoplophora glabripennis (Motschulsky), uses olfactory cues to locate host plants and differentiate them from non-host plants. However, whether A. glabripennis adults use visual cues or a combination of visual and olfactory cues remains unclear. In this study, we tested the host location and recognition behavior in A. glabripennis, which infests a number of hardwood species and causes considerable economic losses in North America, Europe and Asia. We determined the relative importance of visual and olfactory cues from Acer negundo in host plant location and recognition, as well as in the discrimination of non-host plants (Sabina chinensis and Pinus bungeana), by female and male A. glabripennis. Visual and olfactory cues from the host plants (A. negundo), alone and combined, attracted significantly more females and males than equivalent cues from non-host plants (S. chinensis and P. bungeana). Furthermore, the combination of visual and olfactory cues of host plants attracted more adults than either cue alone, and visual cues alone attracted significantly more adults than olfactory cues alone. This finding suggests that adult A. glabripennis has an innate preference for the visual and/or olfactory cues of its host plants (A. negundo) over those of the non-host plant and visual cues are initially more important than olfactory cues for orientation; furthermore, this finding also suggests that adults integrate visual and olfactory cues to find their host plants. Our results indicate that different modalities of host plant cues should be considered together to understand fully the communication between host plants and Asian longhorned beetles."
[Adsorption Capacity of the Air Particulate Matter in Urban Landscape Plants in Different Polluted Regions of Beijing].,"['Zhang, Wei-kang', 'Wang, Bing', 'Niu, Xiang']","Huan jing ke xue= Huanjing kexue / [bian ji, Zhongguo ke xue yuan huan jing ke xue wei yuan hui ""Huan jing ke xue"" bian ji wei yuan hui.]",NA,2015-Jul,0,"Urban landscape plants, as one of the important factors of the urban ecosystem, play an important role in stagnating airborne particulates and purifying urban atmospheric environment. In this article, six kinds of common garden plants were studied, and aerosol generator (QRJZFSQ-I) was used to measure the ability of their leaves to stagnate atmospheric particulates (TSP and PM2.5) in different polluted regions. Meanwhile, environmental scanning electron microscope was used to observe changes in the leaf structure of the tested tree species. The results showed: (1)Among the tested tree species, the ability of coniferous species to stagnate atmospheric particulates was higher than that of broad-leaved species per unit leaf area. Pinus tabuliformis stagnated the highest volume of (3. 89± 0. 026) g . m-2, followed by Pinus bungeana of (2. 82 ± 0. 392) g . cm-2, and Populus tomentosa stagnated the minimum of (2. 00 ± 0. 118) g . cm-2; (2) Through observing the leaf microstructure morphology, coniferous species were found to have tightly packed stomas, stoma density and surface roughness higher than those of broad-leaved species, and they could also secrete oil; (3) In different polluted regions, the leaves of the same tree species showed significant difference in stagnating TSP. Per unit leaf area, the tree species leaves situated around the 5th Ring Road had higher ability to absorb TSP than the tree species leaves at Botanical Garden, while their abilities to absorb PM2.5 showed no significant difference; (4) In different polluted regions, significantly adaptive changes were found in leaf structure. Comparing to the region with light pollution, the outer epidermal cells of the plant leaves in region with heavy pollution shrank, and the roughness of the leaf skin textures as well as the stomatal frequency and villous length increased. In spite of the significant changes in plant leaves exposed to the heavy pollution, these plants could still maintain normal and healthy growth."
"Integration of Visual and Olfactory Cues in Host Plant Identification by the Asian Longhorned Beetle, Anoplophora glabripennis (Motschulsky) (Coleoptera: Cerambycidae).","['L Yv, Fei', 'Hai, Xiaoxia', 'Wang, Zhigang', 'Yan, Aihua', 'Liu, Bingxiang', 'Bi, Yongguo']",PloS one,10.1371/journal.pone.0142752,2015,0,"Some insects use host and mate cues, including odor, color, and shape, to locate and recognize their preferred hosts and mates. Previous research has shown that the Asian longicorn beetle, Anoplophora glabripennis (Motschulsky), uses olfactory cues to locate host plants and differentiate them from non-host plants. However, whether A. glabripennis adults use visual cues or a combination of visual and olfactory cues remains unclear. In this study, we tested the host location and recognition behavior in A. glabripennis, which infests a number of hardwood species and causes considerable economic losses in North America, Europe and Asia. We determined the relative importance of visual and olfactory cues from Acer negundo in host plant location and recognition, as well as in the discrimination of non-host plants (Sabina chinensis and Pinus bungeana), by female and male A. glabripennis. Visual and olfactory cues from the host plants (A. negundo), alone and combined, attracted significantly more females and males than equivalent cues from non-host plants (S. chinensis and P. bungeana). Furthermore, the combination of visual and olfactory cues of host plants attracted more adults than either cue alone, and visual cues alone attracted significantly more adults than olfactory cues alone. This finding suggests that adult A. glabripennis has an innate preference for the visual and/or olfactory cues of its host plants (A. negundo) over those of the non-host plant and visual cues are initially more important than olfactory cues for orientation; furthermore, this finding also suggests that adults integrate visual and olfactory cues to find their host plants. Our results indicate that different modalities of host plant cues should be considered together to understand fully the communication between host plants and Asian longhorned beetles."
"Responses of vertical soil moisture to rainfall pulses and land uses in a typical loess hilly area, China","['Yu, Y', 'Wei, W', 'Chen, LD', 'Jia, FY', 'Yang, L', 'Zhang, HD', 'Feng, TJ', 'PLATEAU']",SOLID EARTH,10.5194/se-6-595-2015,2015,0,"Soil moisture plays a key role in vegetation restoration and ecosystem stability in arid and semiarid regions. The response of soil moisture to rainfall pulses is an important hydrological process, which is strongly influenced by land use during the implementation of vegetation restoration. In this study, vertical soil moisture variations of woodland (Pinus tabulaeformis), native grassland (Stipa bungeana), shrubland (Hippophea rhamnoides), cropland (Triticum aestivum) and artificial grassland (Onobrychis viciaefolia) in five soil profiles were monitored in a typical loess hilly area during the 2010 growing season. The results demonstrated that rainfall pulses directly affected soil moisture variation. A multi-peak pattern of soil moisture appeared during the growing season, notably in the surface soil layer. Meanwhile, the response of each vegetation type to rainfall was inconsistent, and a time-lag effect before reaching the peak value was detected, following each heavy rainfall event. The response duration of soil moisture, however, varied markedly with the size of rainfall events. Furthermore, higher soil water content was detected in grassland and shrubland. Woodland was characterized by relatively lower soil moisture values throughout the investigation period. Our research suggests that vegetation restoration efforts should give priority to grassland and shrubland at the research site. We suggest that more studies should be focused on the characteristics of community structure and spatial vegetation distribution on soil moisture dynamics, particularly within the grass and shrub ecosystems."
Dilute acid pretreatment differentially affects the compositional and architectural features of Pinus bungeana Zucc. compression and opposite wood tracheid walls,"['Zhou, X', 'Ma, J', 'Ji, Z', 'Zhang, X', 'Ramaswamy, S', 'Xu, F', 'Sun, RC']",INDUSTRIAL CROPS AND PRODUCTS,10.1016/j.indcrop.2014.08.035,DEC 2014,1,"Compression wood represents a unique challenge for biochemical processing of sustainable biomass to produce biofuels and bioproducts on account of its highly lignified tracheids relative to opposite wood. In the current work, differentiating response of Pinus bungeana Zucc. compression wood and opposite wood tracheid walls to dilute acid pretreatment was elucidated by combining chemical and microscopic approaches. Dilute acid pretreatment released greater amount of hemicelluloses from opposite wood (91.0%) than from compression wood (31.2%). The dissolution of hemicelluloses was not uniform and varied across the tracheid wall. In addition, for both compression wood and opposite wood the heterogeneity in lignin distribution was enhanced, probably attributed to the lignin migration and relocalization. The ultrastructural arrangement of the cell wall was also altered with the pretreated opposite wood tracheid wall exposing more apparent cellulose microfibril bundles and less abundant globular structures compared to compression wood. The dilute acid pretreatment demonstrated that the greater recalcitrance of compression wood probably originated from the higher lignin content and the resulting more compact structure of the cell wall. (C) 2014 Elsevier B.V. All rights reserved."
Impacts of de-icing salt pollution on urban road greenspace: a case study of Beijing,"['Li, ZY', 'Liang, YM', 'Zhou, JH', 'Sun, X']",FRONTIERS OF ENVIRONMENTAL SCIENCE & ENGINEERING,10.1007/s11783-014-0644-2,OCT 2014,0,"De-icing salt contamination of urban soil and greenspace has been a common issue of concern in many countries for years. In the 2009/2010 winter, Beijing experienced a contamination accident resulting from the overuse of de-icing salt, reported as almost 30000 tons, which severely damaged urban vegetation alongside roadways. The methods of sampling and rating for both soil contamination and response of the plant populations were developed to rapidly assess this emergency environmental event. Results showed that the shrubs were more severely damaged than the arbors in terms of both degree and extent, as almost all of the surveyed shrubs were severely damaged from the salt contamination, while only about 1/4 of the recorded arbors were rated as ""severely injured"" according to the integral plant injury index. The rating of the injury level showed that the trees like Pinus bungeana, Sophora japonica, and the shrubs like Euonymus japonicus, Sabina vulgaris showed less tolerance to de-icing salt pollution. The patterns of vegetation damage demonstrated that the ever-green shrubs alongside roads and the deciduous arbors in the center of roads were most vulnerable to the salt damage."
Fungal Planet description sheets: 214-280,"['Crous, PW', 'Shivas, RG', 'Quaedvlieg, W', 'van der Bank, M', 'Zhang, Y', 'Summerell, BA', 'Guarro, J', 'Wingfield, MJ', 'Wood, AR', 'Alfenas, AC', 'Braun, U', 'Cano-Lira, JF', 'Garcia, D', 'Marin-Felix, Y', 'Alvarado, P', 'Andrade, JP', 'Armengol, J', 'Assefa, A', 'den Breeyen, A', 'Camele, I', 'Cheewangkoon, R', 'De Souza, JT', 'Duong, TA', 'Esteve-Raventos, F', 'Fournier, J', 'Frisullo, S', 'Garcia-Jimenez, J', 'Gardiennet, A', 'Gene, J', 'Hernandez-Restrepo, M', 'Hirooka, Y', 'Hospenthal, DR', 'King, A', 'Lechat, C', 'Lombard, L', 'Mang, SM', 'Marbach, PAS', 'Marincowitz, S', 'Marin-Felix, Y', 'Montano-Mata, NJ', 'Moreno, G', 'Perez, CA', 'Sierra, AMP', 'Robertson, JL', 'Roux, J', 'Rubio, E', 'Schumacher, RK', 'Stchigel, AM', 'Sutton, DA', 'Tan, YP', 'Thompson, EH', 'van der Linde, E', 'Walker, AK', 'Walker, DM', 'Wickes, BL', 'Wong, PTW', 'Groenewald, JZ']",PERSOONIA,10.3767/003158514X68239,JUN 2014,21,"Novel species of microfungi described in the present study include the following from South Africa: Cercosporella dolichandrae from Dolichandra unguiscati, Seiridium podocarpi from Podocarpus latifolius, Pseudocercospora parapseudarthriae from Pseudarthria hookeri, Neodevriesia coryneliae from Corynelia uberata on leaves of Afrocarpus falcatus, Ramichloridium eucleae from Euclea undulata and Stachybotrys aloeticola from Aloe sp. (South Africa), as novel member of the Stachybotriaceae fam. nov. Several species were also described from Zambia, and these include Chaetomella zambiensis on unknown Fabaceae, Schizoparme pseudogranati from Terminalia stuhlmannii, Diaporthe isoberliniae from Isoberlinia angolensis, Peyronellaea combreti from Combretum mossambiciensis, Zasmidium rothmanniae and Phaeococcomyces rothmanniae from Rothmannia engleriana, Diaporthe vangueriae from Vangueria infausta and Diaporthe parapterocarpi from Pterocarpus brenanii. Novel species from the Netherlands include: Stagonospora trichophoricola, Keissleriella trichophoricola and Dinemasporium trichophoricola from Trichophorum cespitosum, Phaeosphaeria poae, Keissleriella poagena, Phaeosphaeria poagena, Parastagonospora poagena and Pyrenochaetopsis poae from Poa sp., Septoriella oudemansii from Phragmites australis and Dendryphion europaeum from Hedera helix (Germany) and Heracleum sphondylium (the Netherlands). Novel species from Australia include: Anungitea eucalyptorum from Eucalyptus leaf litter, Beltraniopsis neolitseae and Acrodontium neolitseae from Neolitsea australiensis, Beltraniella endiandrae from Endiandra introrsa, Phaeophleospora parsoniae from Parsonia straminea, Penicillifer martinii from Cynodon dactylon, Ochroconis macrozamiae from Macrozamia leaf litter, Triposporium cycadicola, Circinotrichum cycadis, Cladosporium cycadicola and Acrocalymma cycadis from Cycas spp. Furthermore, Vermiculariopsiella dichapetali is described from Dichapetalum rhodesicum (Botswana), Marasmius vladimirii from leaf litter (India), Ophiognomonia acadiensis from Picea rubens (Canada), Setophoma vernoniae from Vernonia polyanthes and Penicillium restingae from soil (Brazil), Pseudolachnella guaviyunis from Myrcianthes pungens (Uruguay) and Pseudocercospora neriicola from Nerium oleander (Italy). Novelties from Spain include: Dendryphiella eucalyptorum from Eucalyptus globulus, Conio-scypha minutispora from dead wood, Diplogelasinospora moalensis and Pseudoneurospora canariensis from soil and Inocybe lanatopurpurea from reforested woodland of Pinus spp. Novelties from France include: Keller-mania triseptata from Agave angustifolia, Zetiasplozna acaciae from Acacia melanoxylon, Pyrenochaeta pinicola from Pinus sp. and Pseudonectria rusci from Ruscus aculeatus. New species from China include: Dematiocladium celtidicola from Celtis bungeana, Beltrania pseudorhombica, Chaetopsina beijingensis and Toxicocladosporium pini from Pinus spp. and Setophaeosphaeria badalingensis from Hemerocallis fulva. Novel genera of Ascomycetes include Alfaria from Cyperus esculentus (Spain), Rinaldiella from a contaminated human lesion (Georgia), Hyaloclado-sporiella from Tectona grandis (Brazil), Pseudoacremonium from Saccharum spontaneum and Melnikomyces from leaf litter (Vietnam), Annellosympodiella from Juniperus procera (Ethiopia), Neoceratosperma from Eucalyptus leaves (Thailand), Ramopenidiella from Cycas calcicola (Australia), Cephalotrichiella from air in the Netherlands, Neocamarosporium from Mesembryanthemum sp.

and Acervuloseptoria from Ziziphus mucronata (South Africa) and Setophaeosphaeria from Hemerocallis fulva (China). Several novel combinations are also introduced, namely for Phaeosphaeria setosa as Setophaeosphaeria setosa, Phoma heteroderae as Peyronellaea heteroderae and Phyllosticta maydis as Peyronellaea maydis. Morphological and culture characteristics along with ITS DNA barcodes are provided for all taxa."
Patterns of biomass allocation in an age-sequence of secondary Pinus bungeana forests in China,"['Li, H', 'Li, CY', 'Zha, TS', 'Liu, JL', 'Jia, X', 'Wang, XP', 'Chen, WJ', 'He, GM']",FORESTRY CHRONICLE,10.5558/tfc2014-034,MAR-APR 2014,1,"Tree biomass was investigated in an age-sequence of secondary lacebark pine ( Pinus bungeana) forests to understand biomass partitioning patterns during stand development. Mean biomass of each tree component increased steadily as stands aged. Average growth rates and ratios of tree biomass to stand age increased with age. The ratio of below-to above-ground biomass remained relatively constant independent of stand age. Compared to DBH-H allometric equations, the DBH-only equations performed slightly better and are more efficient to apply. These new equations for lacebark pine are an important supplement to China's national tree biomass equations. These equations and the findings on biomass partitioning patterns during stand development are applicable for the accurate estimation of ecosystem carbon accounting and will contribute to the sustainable management of lacebark pine forests."
Phylogenetic Analysis of Pines Based on Chloroplast trnT-trnL Intergenic Spacer DNA Sequences,"['Um, Yurry', 'Park, Won-Kyu', 'Jo, Nam-Su', 'Han, Simhee', 'Lee, Yi']",Journal of forest and environmental science,10.7747/JFS.2014.30.3.307,2014,0,"This study was conducted to distinguish the pines that are too similar to differentiate using conventional methods. Pinus densiflora and Pinus sylvestris have similar anatomical structure. They both have window-like pits and dentate ray tracheids, so it is not easy to distinguish the plants. We tried to find molecular markers by comparing chloroplast DNA sequences to differentiate the pines growing in Korea. We used P. densiflora, P. densiflora for. multicaulis, P. sylvestris, P. rigida, P. rigitaeda, P. koraiensis, and P. bungeana for this study. We found that the non-coding intergenic region of trnT(UGU) and trnL(UAA) genes have differences among the species. We designed a primer set to amplify the region efficiently and compared the PCR product sequences using CLC Workbench programs to find the polymorphism. We could distinguish the species using the sequences of the amplified region and the sequences were reproducible from the pines collected in Korea."
